tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift
NE,1.0,39.0,191.122115802,16.8215278972,1.23766862355e+18,191.12158219,16.8214361232,23.23003,1.067451,21.15773,0.07509863,19.37598,0.02605245,18.58563,0.02041658,18.17871,0.05195636,0.446119,0.013375,6.08910511665e+18,191.12158,16.821428,0.4515024,0.0001044605,XMMXCSJ124425.9+164758.0,0.45025
NE,1.0,79.0,191.114949104,16.8163612306,1.23766862355e+18,191.114952132,16.8164749703,23.14679,0.5302776,21.2677,0.04591915,20.00202,0.02406717,19.41194,0.02210635,18.99957,0.05504323,0.182528,0.023197,,,,,,XMMXCSJ124425.9+164758.0,0.27885
NE,1.0,85.0,191.127240771,16.8164167861,1.23766862355e+18,191.127674049,16.8162530889,21.5848,0.3222284,20.49928,0.05324851,19.65437,0.04681102,19.24605,0.04484228,19.10135,0.1595433,0.209822,0.038368,,,,,,,
NE,1.0,124.0,191.118032406,16.8112223417,1.23766862355e+18,191.118472123,16.8113621714,22.17674,0.2146797,21.67829,0.05851846,20.70575,0.0378354,20.31373,0.04016256,20.06581,0.1242969,0.367741,0.067046,,,,,,,
NE,1.0,207.0,191.109907343,16.8009167861,1.23766862355e+18,191.110242201,16.800472741,23.32822,0.6255756,21.4106,0.05307689,20.04461,0.02559613,19.47376,0.02340451,19.04807,0.0580852,0.215202,0.017637,,,,,,XMMXCSJ124425.9+164758.0,0.23758
NE,2.0,65.0,191.114907444,16.8174723417,1.23766862355e+18,191.114902036,16.8179248657,23.34718,0.5775036,21.62121,0.05916906,20.86316,0.0457222,20.39109,0.04586048,20.35231,0.1683687,0.132948,0.060934,,,,,,,
NE,2.0,108.0,191.113949079,16.812305675,1.23766862355e+18,191.113751783,16.8123253117,24.02437,0.8082314,21.63552,0.05647545,20.18637,0.0248672,19.68094,0.02402336,19.36661,0.06488547,0.250768,0.029491,,,,,,,
NE,2.0,123.0,191.114907403,16.8106945639,1.23766862355e+18,191.11537107,16.8110507968,21.06813,0.184312,19.52471,0.02615985,18.9447,0.02109089,18.56235,0.02218154,18.30528,0.06379966,0.073803,0.022013,,,,,,,
NE,2.0,161.0,191.103740704,16.8054167861,1.23766862355e+18,191.104119709,16.8052247821,23.45601,0.5975925,21.17621,0.04043663,19.91267,0.02152595,19.42151,0.02046357,19.06213,0.05282357,0.185427,0.011703,,,,,,XMMXCSJ124425.9+164758.0,0.23655
NE,2.0,221.0,191.107865662,16.7986390083,1.23766862355e+18,191.107482838,16.7987600456,24.86409,1.744276,21.06145,0.06388285,19.82196,0.03513902,19.06972,0.0274526,19.04347,0.1016074,0.282107,0.051072,6.0891045669e+18,191.10748,16.798751,0.2366874,6.59742e-05,XMMXCSJ124425.9+164758.0,0.23939
NE,3.0,12.0,191.126157483,16.8238890083,1.23766862355e+18,191.126410889,16.8239280665,22.43056,0.2475811,21.68248,0.05496472,21.03222,0.04453519,20.7212,0.04990455,20.58988,0.1712869,0.221858,0.026282,,,,,,,
NE,3.0,205.0,191.105824002,16.7997501194,1.23766862355e+18,191.105993103,16.8001103791,21.48385,0.2020277,19.57167,0.01876502,18.14566,0.0095531,17.64705,0.009213264,17.29962,0.0212904,0.229999,0.012496,,,,,,XMMXCSJ124425.9+164758.0,0.23139
NW,1.0,17.0,191.099490657,16.797805675,1.23766862355e+18,191.099998568,16.7977935111,25.34733,1.015896,21.02892,0.04522911,19.69587,0.02259899,19.27293,0.02318087,18.95084,0.06242577,0.218218,0.030776,,,,,,XMMXCSJ124425.9+164758.0,0.23471
NW,1.0,70.0,191.119115627,16.7928334528,1.23766862355e+18,191.119023751,16.7926822932,23.24005,0.5245033,21.96548,0.07732841,20.71314,0.04028288,20.28405,0.04108828,19.84614,0.1056969,0.315043,0.074371,,,,,,XMMXCSJ124425.9+164758.0,0.23766
NW,2.0,6.0,191.105698998,16.7989445639,1.23766862355e+18,191.105995074,16.7991564709,22.22918,0.5690583,18.8943,0.01499923,17.43004,0.007624344,16.90665,0.007287032,16.58083,0.01690402,0.242788,0.016157,2.92854544182e+18,191.106,16.799149,0.2346109,3.694397e-05,XMMXCSJ124425.9+164758.0,0.23421
NW,3.0,3.0,191.100573994,16.7984445639,1.23766862355e+18,191.10049989,16.798075509,22.24063,0.2698409,20.81777,0.0354558,19.40304,0.01703469,18.84327,0.01563229,18.4752,0.03864197,0.269685,0.033677,,,,,,,
NW,3.0,50.0,191.107782296,16.7932778972,1.23766862355e+18,191.107777355,16.7931682951,22.13579,0.2613181,21.38425,0.05700339,20.14212,0.03015355,19.54306,0.02698526,19.2534,0.0761513,0.385631,0.084644,,,,,,XMMXCSJ124425.9+164758.0,0.23322
SE,1.0,164.0,191.113865538,16.7782501194,1.23766862355e+18,191.113767911,16.7777754093,23.63023,0.9678276,21.612,0.07857178,20.91533,0.06532969,20.51737,0.07265796,20.28762,0.2188815,0.083388,0.02716,,,,,,XMMXCSJ124425.9+164758.0,0.23038
SE,2.0,61.0,191.109657274,16.7896667861,1.23766862355e+18,191.109295988,16.7894234544,22.27968,0.2986239,21.30495,0.05561804,20.80503,0.06107235,20.86355,0.1044781,20.60148,0.254304,0.322532,0.223244,,,,,,,
SE,3.0,14.0,191.133115647,16.7960834528,1.23766862355e+18,191.132966638,16.7964309794,22.76249,0.6376269,21.35387,0.07966124,19.7217,0.03045136,18.98692,0.02515664,18.50545,0.06004271,0.419255,0.033366,,,,,,,
SE,3.0,17.0,191.109532302,16.7942223417,1.23766862355e+18,191.109386662,16.7947517863,21.02791,0.1649588,20.5989,0.04743526,20.38739,0.06039673,19.96759,0.06475616,20.51185,0.4008719,0.155988,0.072733,,,,,,XMMXCSJ124425.9+164758.0,0.23137
SE,3.0,105.0,191.111740573,16.7840001194,1.23766862355e+18,191.111663968,16.7835636126,23.30127,0.5763103,21.0755,0.03965437,19.89224,0.02217036,19.33687,0.02075875,19.11897,0.0592869,0.169657,0.019715,,,,,,,
SW,1.0,25.0,191.096948976,16.7953890083,1.23766862355e+18,191.097178857,16.7953067849,23.16034,0.4846384,21.85605,0.06924432,21.161,0.05645,20.92008,0.0693352,20.29169,0.1700744,0.193756,0.080603,,,,,,,
SW,1.0,29.0,191.105115643,16.7954723417,1.23766862355e+18,191.105181433,16.7956955478,22.62104,0.4479288,20.409,0.02980834,19.11549,0.01589759,18.55622,0.01470844,18.18493,0.03636277,0.183711,0.010424,,,,,,XMMXCSJ124425.9+164758.0,0.23844
SW,2.0,28.0,191.10211564,16.7949167861,1.23766862355e+18,191.102187386,16.7951819909,29.94191,3.086668,19.15917,1.080567,17.23597,0.3166182,18.41758,1.544415,27.92033,2.183034,0.07601,0.084121,,,,,,,
SW,2.0,241.0,191.093073816,16.7692223417,1.23766858919e+18,191.093053305,16.7687803413,21.07557,0.2145234,19.77785,0.02811171,18.90003,0.0206173,18.54053,0.02197976,18.28779,0.07127195,0.176969,0.030417,,,,,,,
,,,,,1.23766862355e+18,,,19.96992,0.06228035,18.96646,0.01336443,18.73901,0.02126022,18.54115,0.02662156,18.42942,0.06637371,0.039551,0.009947,,,,,,,
,,,,,1.23766862355e+18,,,22.25946,0.2484069,21.56309,0.05808712,21.0452,0.05496454,20.83834,0.07049453,20.7891,0.2514473,0.205773,0.13602,,,,,,,
,,,,,1.23766862355e+18,,,22.30914,0.3209126,21.97087,0.1002094,21.2457,0.07861038,20.89519,0.08983909,20.77516,0.3102757,0.380187,0.139001,,,,,,,
,,,,,1.23766862355e+18,,,26.61634,0.9705918,20.68875,0.07438261,20.26187,0.08143979,20.13925,0.1203595,19.64953,0.2895001,0.040386,0.044236,,,,,,,
,,,,,1.23766858919e+18,,,21.32091,0.2641123,19.62298,0.02503525,18.61572,0.01662111,18.18395,0.01609543,17.85722,0.04333635,0.140476,0.014744,,,,,,,
,,,,,1.23766858919e+18,,,23.42842,0.8584698,21.37455,0.05928161,20.24945,0.03533914,19.73174,0.03195587,19.38508,0.08732613,0.154337,0.012219,,,,,,,
,,,,,1.23766858919e+18,,,25.38869,1.436043,21.23588,0.06514813,19.99932,0.03521201,19.41779,0.0306571,19.01663,0.08358257,0.22949,0.065952,,,,,,,
,,,,,1.23766862355e+18,,,25.23783,1.150018,21.29184,0.05725208,20.01722,0.02996598,19.42398,0.02747746,19.13083,0.07851693,0.24068,0.058665,,,,,,,
,,,,,1.23766862355e+18,,,21.93291,0.2077392,20.4462,0.02629629,19.2626,0.01544027,18.72425,0.01452687,18.33944,0.03561595,0.209205,0.026438,,,,,,,
,,,,,1.23766862355e+18,,,26.30223,0.6071866,21.85947,0.1046915,20.68685,0.05859064,20.22291,0.0610159,19.83745,0.1727301,0.189763,0.070698,,,,,,,
,,,,,1.23766862355e+18,,,23.96586,1.574827,21.90578,0.1294626,20.67684,0.08105523,20.34707,0.1052905,19.9664,0.2366754,0.233888,0.029941,,,,,,,
,,,,,1.23766862355e+18,,,25.61032,0.9834601,21.89393,0.1005376,20.84018,0.06447021,20.33876,0.06733461,20.01984,0.1837303,0.145662,0.024793,,,,,,,
,,,,,1.23766862355e+18,,,22.24353,0.2814785,21.71556,0.0748765,20.6496,0.05042188,20.28482,0.05439427,20.12506,0.1800044,0.38034,0.087391,,,,,,,
,,,,,1.23766862355e+18,,,22.22859,0.3247229,21.63227,0.08178522,20.80608,0.06788395,20.53336,0.09547987,20.12846,0.2074865,0.345243,0.047708,,,,,,,
,,,,,1.23766862355e+18,,,23.61461,1.05688,21.95549,0.1140213,21.39296,0.1063781,21.45035,0.1755128,21.6112,0.736434,0.081231,0.0713,,,,,,,
,,,,,1.23766862355e+18,,,23.13717,0.9075854,21.65091,0.1068214,21.02096,0.106663,20.23801,0.09305277,19.97815,0.2413667,0.245138,0.08986,,,,,,,
,,,,,1.23766862355e+18,,,24.3523,1.148016,21.9339,0.08862865,20.10802,0.02893562,19.3611,0.02316831,18.92406,0.058266,0.418137,0.021715,,,,,,,
,,,,,1.23766862355e+18,,,24.41095,0.9408023,21.45675,0.04927562,20.10316,0.02383555,19.61315,0.02293236,19.27747,0.06149412,0.208216,0.013875,,,,,,,
,,,,,1.23766862355e+18,,,22.1739,0.3444708,20.44148,0.03359929,19.09395,0.01714521,18.55724,0.01646258,18.23048,0.04289437,0.219344,0.011536,,,,,,,
,,,,,1.23766862355e+18,,,22.09973,0.3288275,21.21757,0.06675237,20.15337,0.04598003,19.80873,0.06731338,19.58869,0.1455858,0.354188,0.057831,,,,,,,
,,,,,1.23766858919e+18,,,21.09863,0.2112903,20.23475,0.03882378,19.58451,0.03564626,19.32423,0.04115843,19.22435,0.1452623,0.217762,0.029521,,,,,,,
,,,,,1.23766858919e+18,,,23.55922,1.011205,21.52921,0.07043149,19.89457,0.02769184,19.22817,0.02219581,18.89784,0.06006734,0.335712,0.021392,,,,,,,
,,,,,1.23766858919e+18,,,22.4125,0.4245475,21.7115,0.08772809,21.07225,0.08022442,21.02272,0.111983,21.23273,0.5036603,0.223743,0.113709,,,,,,,
,,,,,1.23766862355e+18,,,24.2914,4.875178,21.564,0.2511407,22.12519,0.6700863,21.36893,0.5506452,20.15979,0.755613,0.608968,0.258228,,,,,,,
