#name             ra            dec              lambda       lambda_err

c16p23+0p06       16.230705     0.060078400      129.702      4.88076
c328p59+0p62       328.59557      0.62318900      87.1559      4.76327
c319p70+0p56       319.70446      0.56037140      120.976      4.57619
250.0+46.7       250.08255       46.711531      202.636      5.35159
203.8+41.0       203.83372       41.001146      190.996      5.66788
210.2+02.8       210.25819       2.8785100      135.590      5.23641
234.2+24.4       234.23439       24.408778      70.1008      4.40349
260.6+32.1       260.61326       32.132568      185.764      7.35761
XMMXCSJ124425.9+164758.0       191.10501       16.796667      11.4454      1.67166
XMMXCSJ125650.2+254803.2       194.20833       25.800833      8.19613      1.75899
