tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift,separation,interloper,LOSV
NE,1.0,154.0,203.849288671,41.0095279167,1.23766230672e+18,203.849391399,41.0092206568,23.19738,0.5872992,20.54949,0.02950015,19.28464,0.01586207,18.86443,0.01656304,18.40397,0.04692092,0.183703,0.013588,,,,,,c203p83+41p0,0.22141,0.184151775027,NO,-2694.92780568
NE,2.0,63.0,203.837246632,41.0193056944,1.23766230672e+18,203.837491737,41.0190277612,21.19069,0.1941375,19.13342,0.01606839,17.89726,0.009110067,17.46273,0.009395971,17.16974,0.02932981,0.199394,0.015744,,,,,,c203p83+41p0,0.23812,0.246003704935,NO,1358.79515087
NE,3.0,22.0,203.845246459,41.02386125,1.23766230672e+18,203.845332755,41.0235019063,23.85611,0.7696962,20.99516,0.03828963,19.75828,0.0197382,19.17293,0.01866959,18.94497,0.06531595,0.218227,0.040056,,,,,,c203p83+41p0,0.23836,0.326476464111,NO,1417.01738364
NE,3.0,25.0,203.853163126,41.02386125,1.23766230672e+18,203.852790576,41.0239487163,22.4583,0.2870599,20.85887,0.0342995,19.54343,0.01747972,19.11609,0.01816081,18.71994,0.05456066,0.232991,0.033613,,,,,,c203p83+41p0,0.23201,0.359257894226,NO,-123.445858376
NE,3.0,106.0,203.83737185,41.0135834722,1.23766230672e+18,203.837323678,41.0139435091,23.55438,0.7360366,20.20648,0.03009711,18.82695,0.01340182,18.32364,0.03270292,17.99351,0.03327828,0.221753,0.017104,,,,,,c203p83+41p0,0.22373,0.169588338406,NO,-2132.11288891
NE,3.0,147.0,203.830705383,41.0083334722,1.23766230672e+18,203.830588903,41.0088414911,23.72295,0.8943161,20.78741,0.03733851,19.48155,0.01913801,18.99945,0.01934857,18.74661,0.0660172,0.201506,0.017988,,,,,,c203p83+41p0,0.23798,0.109322173626,YES,1324.83218176
NE,3.0,185.0,203.85458051,41.0049723611,1.23766230672e+18,203.854125163,41.0050188929,22.76795,0.3436307,21.28513,0.04397428,20.50911,0.0333231,20.1051,0.03626836,19.80493,0.1254223,0.070076,0.024592,,,,,,c203p83+41p0,0.24966,0.223445222486,YES,4158.31417653
NE,3.0,206.0,203.83337231,41.0014723611,1.23766230672e+18,203.833732494,41.00114484,20.04226,0.1079811,17.93587,0.00915489,16.39163,0.004500995,15.86946,0.004327438,15.52125,0.01125991,0.262651,0.012892,5.30094906286e+18,203.83372,41.001146,0.2283087,3.139327e-05,c203p83+41p0,0.22731,0.000124637924468,NO,-1263.63125011
NE,3.0,210.0,203.843872311,41.0014445833,1.23766230672e+18,203.843869107,41.0013897943,24.05069,0.9940875,21.07509,0.04448472,19.58604,0.0195372,19.08265,0.01940741,18.78417,0.06387792,0.265788,0.022401,,,,,,c203p83+41p0,0.22417,0.0994829306291,NO,-2025.37212884
NW,1.0,127.0,203.818871872,41.0130001389,1.23766230672e+18,203.818270412,41.0131479016,21.36386,0.2907842,18.86281,0.01577607,17.43057,0.007754348,16.9326,0.007658666,16.57532,0.02227705,0.23105,0.011054,1.64845165589e+18,203.81826,41.013161,0.2380925,5.570007e-05,c203p83+41p0,0.23777,0.227079273198,NO,1273.88772808
NW,1.0,167.0,203.809705402,41.0078334722,1.23766230672e+18,203.810004054,41.0082590215,22.60904,0.3041517,21.12618,0.03927963,19.69437,0.01831149,19.2057,0.01812852,18.9237,0.05962044,0.293506,0.044428,,,,,,c203p83+41p0,0.23336,0.257726668676,NO,204.05420095
NW,2.0,27.0,203.821538103,41.0244723611,1.23766230672e+18,203.821736928,41.0242386135,22.2133,0.2587349,21.44757,0.05904744,20.20768,0.03099903,19.80163,0.03418547,19.53151,0.1226818,0.37578,0.063772,,,,,,c203p83+41p0,0.2393,0.33818109859,NO,1645.05446199
NW,2.0,63.0,203.801621631,41.0193334722,1.23766230672e+18,203.802025006,41.019603781,20.64552,0.08774781,19.54594,0.01587958,18.83542,0.01394445,18.44315,0.01489809,18.20718,0.05212356,0.160434,0.023211,,,,,,c203p83+41p0,0.16348,0.305505530222,YES,-16748.3192404
NW,2.0,165.0,203.803080425,41.0072223611,1.23766230672e+18,203.803036231,41.0069907338,22.00677,0.2090524,20.05847,0.0197541,18.74467,0.01067099,18.26933,0.01055116,17.92937,0.03013645,0.203541,0.010653,,,,,,c203p83+41p0,0.23931,0.325678645192,NO,1647.48038835
NW,2.0,220.0,203.795205688,41.0003056944,1.23766230672e+18,203.795381911,41.000853265,22.40564,0.3012109,20.5463,0.02849044,19.44894,0.01728865,18.91345,0.01689123,18.632,0.05622612,0.178976,0.017428,,,,,,c203p83+41p0,0.29934,0.46360391604,YES,16210.3163598
NW,2.0,239.0,203.806955751,40.9986390278,1.23766230672e+18,203.806595167,40.9984954945,24.83506,0.838948,21.60462,0.05445462,20.24304,0.02587605,19.74837,0.02590863,19.48981,0.09137691,0.207437,0.015232,,,,,,c203p83+41p0,0.23174,0.274792853207,NO,-188.945870242
SE,1.0,46.0,203.831997573,40.9945556944,1.23766230672e+18,203.832415331,40.9949587399,22.09138,0.2873515,20.18013,0.02628428,18.73198,0.01257445,18.22315,0.01219082,17.897,0.03696806,0.240792,0.015516,,,,,,c203p83+41p0,0.22961,0.0828231422191,NO,-705.668186068
SE,1.0,123.0,203.843872895,40.9860556944,1.23766230672e+18,203.844117963,40.9863953043,21.46397,0.19597,19.5726,0.01845718,18.17388,0.009389889,17.65083,0.009051489,17.25031,0.02496257,0.226163,0.014628,,,,,,c203p83+41p0,0.2307,0.221673889761,NO,-441.242212242
