#name ra dec lambda lambda_err mass massplus massminus

c16p23+0p06 16.230705 0.060078400 129.702 4.88076 2.69440528996e+15 9.0523095405e+14 5.29750642066e+14
c328p59+0p62 328.59557 0.62318900 87.1559 4.76327 9.65946175373e+13 4.58491173986e+13 3.11616597322e+13
c319p70+0p56 319.70446 0.56037140 120.976 4.57619 5.81185490881e+14 2.1890374751e+14 1.69591215621e+14
250.0+46.7 250.08255 46.711531 202.636 5.35159 1.75171872015e+15 5.77470184755e+14 4.18114138852e+1
203.8+41.0 203.83372 41.001146 190.996 5.66788 3.89183110795e+15 1.33282231362e+15 1.04621552197e+15
210.2+02.8 210.25819 2.8785100 135.590 5.23641 2.80045419374e+14 2.25988096273e+14 1.71985374318e+14
234.2+24.4 234.23439 24.408778 70.1008 4.40349 1.06200807969e+15 3.80229191883e+14 2.58830162354e+14
260.6+32.1 260.61326 32.132568 185.764 7.35761 1.05303755163e+15 3.52413761887e+14 2.48724174715e+14
XMMXCSJ124425.9+164758.0 191.10501 16.796667 11.4454 1.67166 6.49782691755e+13 5.52316925108e+13 5.06570416232e+13
XMMXCSJ125650.2+254803.2 194.20833 25.800833 8.19613 1.75899 -99 -99 -99
