tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,1.0,39.0,191.122115802,16.8215278972,1.23766862355e+18,191.12158219,16.8214361232,23.23003,1.067451,21.15773,0.07509863,19.37598,0.02605245,18.58563,0.02041658,18.17871,0.05195636,0.446119,0.013375,6.08910511665e+18,191.12158,16.821428,0.4515024,0.0001044605,XMMXCSJ124425.9+164758.0,0.0,0.4514,9e-05,0.611349483463,YES,53397.7116794
NE,1.0,79.0,191.114949104,16.8163612306,1.23766862355e+18,191.114952132,16.8164749703,23.14679,0.5302776,21.2677,0.04591915,20.00202,0.02406717,19.41194,0.02210635,18.99957,0.05504323,0.182528,0.023197,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.22347,9e-05,0.284594874615,YES,-1943.34552263
NE,1.0,85.0,191.127240771,16.8164167861,1.23766862355e+18,191.127674049,16.8162530889,21.5848,0.3222284,20.49928,0.05324851,19.65437,0.04681102,19.24605,0.04484228,19.10135,0.1595433,0.209822,0.038368,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23755,8e-05,0.396379012925,YES,1475.2570545
NE,1.0,207.0,191.109907343,16.8009167861,1.23766862355e+18,191.110242201,16.800472741,23.32822,0.6255756,21.4106,0.05307689,20.04461,0.02559613,19.47376,0.02340451,19.04807,0.0580852,0.215202,0.017637,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.23723,0.00019,0.0852048730019,YES,1397.56154138
NE,2.0,65.0,191.114907444,16.8174723417,1.23766862355e+18,191.114902036,16.8179248657,23.34718,0.5775036,21.62121,0.05916906,20.86316,0.0457222,20.39109,0.04586048,20.35231,0.1683687,0.132948,0.060934,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.25292,8e-05,0.330605925065,YES,5207.06966888
NE,2.0,123.0,191.114907403,16.8106945639,1.23766862355e+18,191.11537107,16.8110507968,21.06813,0.184312,19.52471,0.02615985,18.9447,0.02109089,18.56235,0.02218154,18.30528,0.06379966,0.073803,0.022013,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.10794,0.00013,0.124161138866,YES,-29993.8537425
NE,3.0,205.0,191.105824002,16.7997501194,1.23766862355e+18,191.105993103,16.8001103791,21.48385,0.2020277,19.57167,0.01876502,18.14566,0.0095531,17.64705,0.009213264,17.29962,0.0212904,0.229999,0.012496,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23126,0.00016,0.0474417433167,NO,-51.9453751978
NW,1.0,17.0,191.099490657,16.797805675,1.23766862355e+18,191.099998568,16.7977935111,25.34733,1.015896,21.02892,0.04522911,19.69587,0.02259899,19.27293,0.02318087,18.95084,0.06242577,0.218218,0.030776,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.33769,0.00012,0.0857080650528,YES,25789.0966904
NW,1.0,70.0,191.119115627,16.7928334528,1.23766862355e+18,191.119023751,16.7926822932,23.24005,0.5245033,21.96548,0.07732841,20.71314,0.04028288,20.28405,0.04108828,19.84614,0.1056969,0.315043,0.074371,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.23725,0.0002,0.189590602866,YES,1402.41751095
NW,2.0,6.0,191.105698998,16.7989445639,1.23766862355e+18,191.105995074,16.7991564709,22.22918,0.5690583,18.8943,0.01499923,17.43004,0.007624344,16.90665,0.007287032,16.58083,0.01690402,0.242788,0.016157,2.92854544182e+18,191.106,16.799149,0.2346109,3.694397e-05,XMMXCSJ124425.9+164758.0,0.0,0.23397,7e-05,0.035687334222,NO,606.038501508
NW,3.0,50.0,191.107782296,16.7932778972,1.23766862355e+18,191.107777355,16.7931682951,22.13579,0.2613181,21.38425,0.05700339,20.14212,0.03015355,19.54306,0.02698526,19.2534,0.0761513,0.385631,0.084644,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23239,0.00017,0.0585221216765,NO,222.416905495
SE,1.0,164.0,191.113865538,16.7782501194,1.23766862355e+18,191.113767911,16.7777754093,23.63023,0.9678276,21.612,0.07857178,20.91533,0.06532969,20.51737,0.07265796,20.28762,0.2188815,0.083388,0.02716,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23017,8e-05,0.273720473716,NO,-316.595716751
SE,3.0,14.0,191.133115647,16.7960834528,1.23766862355e+18,191.132966638,16.7964309794,22.76249,0.6376269,21.35387,0.07966124,19.7217,0.03045136,18.98692,0.02515664,18.50545,0.06004271,0.419255,0.033366,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.45234,0.0001,0.556920010923,YES,53625.9422492
SE,3.0,17.0,191.109532302,16.7942223417,1.23766862355e+18,191.109386662,16.7947517863,21.02791,0.1649588,20.5989,0.04743526,20.38739,0.06039673,19.96759,0.06475616,20.51185,0.4008719,0.155988,0.072733,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23118,3e-05,0.0611855221975,NO,-71.3692534769
SE,3.0,105.0,191.111740573,16.7840001194,1.23766862355e+18,191.111663968,16.7835636126,23.30127,0.5763103,21.0755,0.03965437,19.89224,0.02217036,19.33687,0.02075875,19.11897,0.0592869,0.169657,0.019715,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.13613,0.0001,0.126470697185,YES,-23149.3646339
SW,1.0,25.0,191.096948976,16.7953890083,1.23766862355e+18,191.097178857,16.7953067849,23.16034,0.4846384,21.85605,0.06924432,21.161,0.05645,20.92008,0.0693352,20.29169,0.1700744,0.193756,0.080603,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.21922,0.00019,0.0972718140874,YES,-2975.23905621
SW,1.0,29.0,191.105115643,16.7954723417,1.23766862355e+18,191.105181433,16.7956955478,22.62104,0.4479288,20.409,0.02980834,19.11549,0.01589759,18.55622,0.01470844,18.18493,0.03636277,0.183711,0.010424,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23157,5e-05,0.0130984535012,NO,23.3221531339
SW,2.0,28.0,191.10211564,16.7949167861,1.23766862355e+18,191.102187386,16.7951819909,29.94191,3.086668,19.15917,1.080567,17.23597,0.3166182,18.41758,1.544415,27.92033,2.183034,0.07601,0.084121,,,,,,XMMXCSJ124425.9+164758.0,1.0,0.02526,0.00011,0.00565339349177,YES,-50068.431944
SW,2.0,241.0,191.093073816,16.7692223417,1.23766858919e+18,191.093053305,16.7687803413,21.07557,0.2145234,19.77785,0.02811171,18.90003,0.0206173,18.54053,0.02197976,18.28779,0.07127195,0.176969,0.030417,,,,,,XMMXCSJ124425.9+164758.0,0.0,0.23716,6e-05,0.408326720782,YES,1380.56564789
