tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV,LOSV_err
NE,1.0,223.0,194.223855618,25.8006945639,1.23766744888e+18,194.223284878,25.8007606353,21.92158,0.2594573,20.91336,0.04888746,19.63699,0.02508943,19.1482,0.02633635,18.78514,0.07194372,0.327832,0.065404,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.39308,0.00015,0.258807223532,YES,25900.1450113,69.967298004
NE,3.0,6.0,194.224772539,25.8251390083,1.23766744888e+18,194.224906625,25.8255268732,20.35631,0.08443432,19.15327,0.01355905,18.33378,0.01087283,17.86649,0.01136903,17.59476,0.03027807,0.170684,0.027384,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.17202,7e-05,0.304659275585,YES,-25656.4246446,32.6514057352
NE,3.0,47.0,194.219314152,25.8200001194,1.23766744888e+18,194.219716717,25.8197072808,21.67583,0.1821403,19.447,0.01341559,18.32377,0.008817435,17.87641,0.009046474,17.5539,0.02105701,0.157319,0.012446,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.17281,0.00013,0.227634754941,YES,-25472.1774265,60.6383249368
NW,1.0,158.0,194.209230708,25.8093612306,1.23766744888e+18,194.20934132,25.8091338169,21.66504,0.2282395,20.36412,0.0307635,19.06689,0.01726679,18.52168,0.01694513,18.05619,0.03917155,0.310889,0.063118,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.28188,0.00012,0.12864178958,NO,-34.4001155438,55.9738384032
NW,1.0,170.0,194.203814023,25.8075834528,1.23766744888e+18,194.204241116,25.8076905443,22.64799,0.334365,21.99592,0.07660652,21.27502,0.06806675,20.99529,0.08410162,20.38441,0.185995,0.343908,0.103638,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.16648,0.0002,0.0800355051788,YES,-26948.4874144,93.289730672
NW,3.0,201.0,194.208313977,25.8031390083,1.23766744888e+18,194.208803653,25.8028500575,21.23562,0.2969388,19.23109,0.02181476,17.68475,0.01012988,17.12727,0.009942876,16.83155,0.02573473,0.286266,0.016707,2.99619042687e+18,194.20881,25.802858,0.2816204,4.485908e-05,XMMXCSJ125650.2+254803.2,0.0,0.28101,0.0001,0.0316780302644,NO,-237.305279755,46.644865336
SE,1.0,227.0,194.232646997,25.7729445639,1.23766744888e+18,194.232528652,25.7729722007,23.68437,0.9362963,21.60843,0.06913556,19.95408,0.0285936,19.2278,0.02392201,19.02212,0.071021,0.395005,0.034047,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.39719,0.0001,0.684354202021,YES,26858.6969939,46.644865336
SW,1.0,122.0,194.193980455,25.7849445639,1.23766744888e+18,194.193766984,25.7845227742,21.5427,0.1794133,20.66846,0.03420995,19.49205,0.02084823,19.01231,0.02172297,18.66339,0.05661473,0.342347,0.070932,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.32868,0.00011,0.3585466719,YES,10880.4983731,51.3093518696
SW,2.0,58.0,194.211397204,25.7929167861,1.23766744888e+18,194.211216086,25.7934245445,24.12738,1.545625,21.39017,0.07243565,19.89837,0.03365268,19.31097,0.03216201,18.78635,0.07509328,0.350493,0.073228,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.258,0.00015,0.113462277935,YES,-5603.79703666,69.967298004
SW,3.0,132.0,194.184188758,25.7820001194,1.23766744888e+18,194.183821247,25.7822660501,21.57317,0.2395793,19.65399,0.01965414,18.05816,0.009163699,17.49219,0.008745742,17.13764,0.02048749,0.310426,0.030073,2.99619564955e+18,194.18382,25.782273,0.2837582,6.112879e-05,XMMXCSJ125650.2+254803.2,0.0,0.28333,0.0001,0.445964953469,NO,303.775158142,46.644865336
SW,3.0,138.0,194.197272092,25.7820834528,1.23766744888e+18,194.196871774,25.7818719895,22.29929,0.2449929,21.72105,0.06038059,21.11597,0.05890569,21.02513,0.0844287,21.07046,0.3250857,0.217098,0.087944,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.328,6e-05,0.369310764107,YES,10721.9058309,27.9869192016
