tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV,LOSV_err
NE,1.0,6.0,210.266858819,2.90522236111,1.23765173738e+18,210.266762325,2.90573665884,22.94173,0.6801897,20.49292,0.03678862,19.0145,0.01684575,18.47611,0.01707796,18.03897,0.03991427,0.247323,0.015696,,,,,,c210p27+2p87,0.0,0.24785,0.00017,0.400498040812,NO,-1626.15723036,81.0250483164
NE,1.0,16.0,210.257817155,2.90350013889,1.23765173738e+18,210.257382629,2.90383489382,23.16866,0.6835387,21.85762,0.09664392,20.37379,0.04329633,19.91593,0.04736337,19.32423,0.1010373,0.344355,0.054553,,,,,,c210p27+2p87,1.0,0.31583,0.00017,0.422521538204,YES,14574.0862536,81.0250483164
NE,1.0,123.0,210.268817175,2.89152791667,1.23765173738e+18,210.268378097,2.8916547317,23.36469,0.7553099,21.20052,0.05383971,19.70444,0.0242891,19.21096,0.02543346,18.92546,0.06912588,0.235262,0.015346,,,,,,c210p27+2p87,1.0,0.23254,0.00025,0.222393462031,YES,-5274.66749426,119.154482818
NE,2.0,43.0,210.281817159,2.90130569444,1.23765173738e+18,210.282010281,2.90105694579,22.24346,0.3024957,21.06145,0.04633428,20.20045,0.03424966,19.8767,0.0424456,19.61511,0.1196684,0.190162,0.057328,,,,,,c210p27+2p87,1.0,0.20393,7e-05,0.396427165503,YES,-12092.6870011,33.3632551891
NE,2.0,64.0,210.265817164,2.89777791667,1.23765173738e+18,210.26538138,2.89795445423,23.12118,0.5964227,21.88997,0.08987008,20.48043,0.04337633,19.96026,0.04454189,19.64651,0.1199095,0.296748,0.054776,,,,,,c210p27+2p87,1.0,0.28763,0.00023,0.323949166074,YES,7853.77342266,109.622124193
NE,2.0,222.0,210.262858863,2.87883347222,1.23765175456e+18,210.263058619,2.87916720204,22.62801,0.5205079,20.24269,0.02897961,18.66197,0.01189242,18.14974,0.01171352,17.91181,0.03075469,0.283384,0.022344,,,,,,c210p27+2p87,0.0,0.25174,0.00019,0.0696496731757,NO,-699.135354036,90.5574069419
NE,3.0,63.0,210.264775499,2.89727791667,1.23765173738e+18,210.264482682,2.89736426613,22.31028,0.4033958,20.21348,0.0299162,18.68324,0.01338125,18.14981,0.013546,17.8105,0.03362582,0.257117,0.014037,,,,,,c210p27+2p87,0.0,0.25978,0.00023,0.288694351055,NO,1216.86872968,109.622124193
NE,3.0,65.0,210.268817165,2.89725013889,1.23765173738e+18,210.268727026,2.89741869973,24.19248,0.9725686,21.75489,0.06982467,20.3115,0.03303139,19.77723,0.03323452,19.37292,0.0817989,0.234443,0.019868,,,,,,c210p27+2p87,0.0,0.25405,0.00018,0.309248559347,NO,-148.641643415,85.7912276292
NE,3.0,79.0,210.267858835,2.89558347222,1.23765173738e+18,210.267515364,2.89598477413,24.55223,1.478322,21.67074,0.08862124,20.26254,0.04190318,19.79611,0.04579536,19.43475,0.1208032,0.220935,0.013981,,,,,,c210p27+2p87,1.0,0.21924,0.00014,0.253309227768,YES,-8444.17673723,66.7265103782
NE,3.0,114.0,210.279817174,2.89205569444,1.23765173738e+18,210.279938797,2.89181699985,25.19523,1.105862,21.56314,0.06790166,20.10636,0.03080674,19.559,0.03139897,19.0803,0.07248967,0.278195,0.041536,,,,,,c210p27+2p87,1.0,0.26057,0.00017,0.370849515587,NO,1405.13281254,81.0250483164
NE,3.0,198.0,210.273900524,2.88175013889,1.23765175456e+18,210.273991318,2.88170870817,24.24014,1.643331,21.12169,0.06234289,19.69515,0.02694101,19.11778,0.02537367,18.75107,0.06518381,0.232012,0.016555,,,,,,c210p27+2p87,0.0,0.25158,0.00024,0.228462096198,NO,-737.264788538,114.388303506
