tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,1.0,62.0,328.342756676,0.211534141667,5.87731186727e+17,328.34258267,0.21106047,328.34258267,0.21106047,24.139698,1.224196,21.89579,0.074296,20.970228,0.053391,20.418592,0.048035,20.195074,0.172603,328.34258267,0.21106047,0.109741,0.036102,c328p33+0p19,1.0,0.07663,7e-05,0.102198716829,YES,-34368.568953
NE,1.0,215.0,328.358756679,0.194367475,5.87734304876e+17,328.35925216,0.1945042,328.35925216,0.1945042,20.597483,0.437282,18.227455,0.018159,16.710634,0.008278699,16.141535,0.007478366,15.768666,0.022325,328.35925216,0.1945042,0.236253,0.011676,c328p33+0p19,0.0,0.21586,9e-05,0.258616402487,NO,-146.381066129
NE,2.0,138.0,328.348756678,0.202395252778,5.87734304876e+17,328.34831509,0.20243937,328.34831509,0.20243937,23.121624,0.900795,21.364775,0.063258,20.121231,0.034624,19.497684,0.029673,19.212706,0.100493,328.34831509,0.20243937,0.197596,0.022592,c328p33+0p19,0.0,0.2737,0.00018,0.212773038876,YES,14070.4640634
NE,2.0,220.0,328.338840013,0.192006363889,5.87734304876e+17,328.33894725,0.19186223,328.33894725,0.19186223,22.251806,0.462859,20.560453,0.034735,19.116808,0.01895,18.55838,0.015459,18.087574,0.040271,328.33894725,0.19186223,0.210957,0.031151,c328p33+0p19,0.0,0.21917,0.00016,0.00040095301152,NO,667.20395079
NE,3.0,129.0,328.360756678,0.203589697222,5.87734304876e+17,328.36090259,0.20345186,328.36090259,0.20345186,25.734022,1.219621,21.514879,0.070054,19.971285,0.029934,19.374668,0.026011,19.048349,0.082825,328.36090259,0.20345186,0.253667,0.017917,c328p33+0p19,0.0,0.21718,0.00017,0.314883228557,NO,178.069756328
NE,3.0,154.0,328.352756678,0.200145252778,5.87734304876e+17,328.35321203,0.19986756,328.35321203,0.19986756,22.441236,0.461169,21.587481,0.069333,20.860672,0.058402,20.61363,0.06815,20.165873,0.201761,328.35321203,0.19986756,0.291505,0.038517,c328p33+0p19,0.0,0.28089,5e-05,0.251010852098,YES,15837.7378614
NE,3.0,168.0,328.351798345,0.198423030556,5.87734304876e+17,328.35227346,0.19826313,328.35227346,0.19826313,21.608536,0.299489,21.490253,0.086425,20.999601,0.090717,20.538784,0.088738,21.689634,1.030405,328.35227346,0.19826313,0.02977,0.062442,c328p33+0p19,0.0,0.22101,9e-05,0.190165590866,NO,1119.46873361
NE,3.0,174.0,328.363798345,0.198367475,5.87734304876e+17,328.36332264,0.19824694,328.36332264,0.19824694,25.127914,1.51663,21.32597,0.053479,19.85018,0.02449,19.289173,0.021841,18.866009,0.063113,328.36332264,0.19824694,0.224375,0.021735,c328p33+0p19,0.0,0.21608,0.00014,0.318394430613,NO,-92.3059290527
NW,1.0,206.0,328.313798346,0.194311919444,5.87734304876e+17,328.31393884,0.19438513,328.31393884,0.19438513,22.698111,0.633017,21.329855,0.062138,19.959461,0.030518,19.389851,0.02719,18.921837,0.079039,328.31393884,0.19438513,0.26428,0.048674,c328p33+0p19,0.0,0.21699,9e-05,0.317887633839,NO,131.368501581
NW,2.0,55.0,328.329756676,0.212728586111,5.87731186727e+17,328.33002332,0.21286289,328.33002332,0.21286289,24.921875,2.386293,21.452271,0.09035,20.201805,0.049039,19.840492,0.053349,19.478197,0.175028,328.33002332,0.21286289,0.125752,0.02719,c328p33+0p19,0.0,0.2134,0.00022,0.285025071577,NO,-751.039417072
NW,3.0,151.0,328.319798345,0.200117475,5.87734304876e+17,328.31990149,0.19986906,328.31990149,0.19986906,22.286575,0.576827,20.55934,0.041214,19.203045,0.021026,18.59771,0.018665,18.144039,0.052946,328.31990149,0.19986906,0.201676,0.024357,c328p33+0p19,0.0,0.21664,8e-05,0.260900878996,NO,45.339874414
NW,3.0,217.0,328.335798346,0.193228586111,5.87734304876e+17,328.33586188,0.19304171,328.33586188,0.19304171,23.821453,1.422789,21.984875,0.102866,20.710897,0.054602,20.573761,0.070093,19.713005,0.145391,328.33586188,0.19304171,0.151084,0.037486,c328p33+0p19,1.0,0.21884,0.0002,0.0417028241352,NO,586.091245176
SE,1.0,12.0,328.358715013,0.191589697222,5.87734304876e+17,328.35857851,0.1914648,328.35857851,0.1914648,22.918337,0.763779,21.155581,0.052417,19.793808,0.026464,19.240759,0.0237,18.774183,0.06646,328.35857851,0.1914648,0.188231,0.022038,c328p33+0p19,0.0,0.21638,0.00012,0.248487844865,NO,-18.567105767
SE,1.0,40.0,328.35675668,0.188061919444,5.87734304876e+17,328.35678282,0.18787442,328.35678282,0.18787442,22.705971,0.645293,20.416912,0.029474,18.963617,0.014224,18.425079,0.012913,17.989302,0.034869,328.35678282,0.18787442,0.207976,0.012232,c328p33+0p19,0.0,0.21642,0.0001,0.231353793777,NO,-8.73526266222
SE,3.0,43.0,328.362715014,0.187006363889,5.87734304876e+17,328.36255391,0.18722642,328.36255391,0.18722642,22.868757,0.767314,20.978456,0.047631,19.548782,0.022646,18.943712,0.02041,18.655926,0.064844,328.36255391,0.18722642,0.218185,0.015846,c328p33+0p19,0.0,0.21594,0.00018,0.303897983456,NO,-126.717379919
SE,3.0,57.0,328.361715014,0.185256363889,5.87734304876e+17,328.3616901,0.18507561,328.3616901,0.18507561,22.705093,0.596052,20.933092,0.041463,19.538658,0.0207,18.999987,0.020217,18.609898,0.055238,328.3616901,0.18507561,0.205851,0.015439,c328p33+0p19,0.0,0.21427,0.00011,0.298029368623,NO,-537.196829543
SE,3.0,61.0,328.340798347,0.183534141667,5.87734304876e+17,328.34050075,0.18344759,328.34050075,0.18344759,24.418648,1.684047,21.703943,0.075424,20.3699,0.037852,19.847252,0.034871,19.416594,0.102713,328.34050075,0.18344759,0.183196,0.011072,c328p33+0p19,0.0,0.21438,0.00012,0.107509854442,NO,-510.159261005
SW,1.0,51.0,328.322840014,0.186339697222,5.87734304876e+17,328.32243496,0.18623391,328.32243496,0.18623391,22.054672,0.464716,20.503771,0.039138,19.130772,0.020241,18.559282,0.017883,18.197807,0.053131,328.32243496,0.18623391,0.224516,0.034488,c328p33+0p19,0.0,0.21893,7e-05,0.222076193688,NO,608.212892162
SW,1.0,174.0,328.336840016,0.172534141667,5.87734304876e+17,328.33722442,0.17279183,328.33722442,0.17279183,21.3561,0.234745,20.890514,0.050757,19.864309,0.033256,19.439486,0.033982,19.027407,0.105264,328.33722442,0.17279183,0.29139,0.051732,c328p33+0p19,0.0,0.3719,7e-05,0.354338930619,YES,38207.6388855
SW,2.0,133.0,328.311840015,0.175506363889,5.87734304876e+17,328.31177105,0.17593367,328.31177105,0.17593367,24.352442,2.054754,21.727188,0.094316,20.799818,0.06797,20.424049,0.071938,19.663195,0.164483,328.31177105,0.17593367,0.093236,0.042092,c328p33+0p19,0.0,0.20849,0.00017,0.386494063241,YES,-1957.89815818
SW,3.0,41.0,328.331715014,0.186923030556,5.87734304876e+17,328.3314515,0.18721282,328.3314515,0.18721282,24.016455,1.634708,21.246347,0.056428,19.835625,0.027123,19.309,0.024933,18.957008,0.077859,328.3314515,0.18721282,0.205494,0.015296,c328p33+0p19,0.0,0.21378,8e-05,0.110143446016,NO,-657.636907576
