tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
NE,1.0,223.0,194.223855618,25.8006945639,1.23766744888e+18,194.223284878,25.8007606353,21.92158,0.2594573,20.91336,0.04888746,19.63699,0.02508943,19.1482,0.02633635,18.78514,0.07194372,0.327832,0.065404,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.39308,0.00015
NE,3.0,6.0,194.224772539,25.8251390083,1.23766744888e+18,194.224906625,25.8255268732,20.35631,0.08443432,19.15327,0.01355905,18.33378,0.01087283,17.86649,0.01136903,17.59476,0.03027807,0.170684,0.027384,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.17202,7e-05
NE,3.0,47.0,194.219314152,25.8200001194,1.23766744888e+18,194.219716717,25.8197072808,21.67583,0.1821403,19.447,0.01341559,18.32377,0.008817435,17.87641,0.009046474,17.5539,0.02105701,0.157319,0.012446,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.17281,0.00013
NW,1.0,158.0,194.209230708,25.8093612306,1.23766744888e+18,194.20934132,25.8091338169,21.66504,0.2282395,20.36412,0.0307635,19.06689,0.01726679,18.52168,0.01694513,18.05619,0.03917155,0.310889,0.063118,,,,,,XMMXCSJ125650.2+254803.2,0.0,0.28188,0.00012
NW,1.0,170.0,194.203814023,25.8075834528,1.23766744888e+18,194.204241116,25.8076905443,22.64799,0.334365,21.99592,0.07660652,21.27502,0.06806675,20.99529,0.08410162,20.38441,0.185995,0.343908,0.103638,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.16648,0.0002
NW,1.0,224.0,194.195188951,25.8006667861,1.23766744888e+18,194.195506431,25.8011092699,24.66383,1.414048,21.62028,0.08781672,20.7917,0.06405687,20.59215,0.08255917,20.31647,0.2331043,0.465318,0.21395,,,,,,XMMXCSJ125650.2+254803.2,2.0,0.40813,0.00018
NW,2.0,146.0,194.182022366,25.8085278972,1.23766744888e+18,194.181847241,25.8087220498,23.04194,0.54314,21.74249,0.07239555,20.89953,0.05820994,20.5399,0.06873319,20.38347,0.2214028,0.1844,0.033602,,,,,,,,,
NW,3.0,201.0,194.208313977,25.8031390083,1.23766744888e+18,194.208803653,25.8028500575,21.23562,0.2969388,19.23109,0.02181476,17.68475,0.01012988,17.12727,0.009942876,16.83155,0.02573473,0.286266,0.016707,2.99619042687e+18,194.20881,25.802858,0.2816204,4.485908e-05,XMMXCSJ125650.2+254803.2,0.0,0.28101,0.0001
NW,3.0,243.0,194.20510559,25.7980001194,1.23766744888e+18,194.204658274,25.7982059007,23.0995,0.517131,21.77592,0.06775437,20.43824,0.03602986,19.90577,0.0353583,19.47321,0.08841757,0.302926,0.052949,,,,,,XMMXCSJ125650.2+254803.2,2.0,0.48788,9e-05
SE,1.0,227.0,194.232646997,25.7729445639,1.23766744888e+18,194.232528652,25.7729722007,23.68437,0.9362963,21.60843,0.06913556,19.95408,0.0285936,19.2278,0.02392201,19.02212,0.071021,0.395005,0.034047,,,,,,XMMXCSJ125650.2+254803.2,1.0,0.39719,0.0001
