tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift
NE,1.0,78.0,234.242717225,24.4269723611,1.23766510222e+18,234.242469078,24.4267076279,23.32181,0.8214557,21.38504,0.06369095,19.81304,0.02629947,19.22212,0.02145914,18.84101,0.05841701,0.277321,0.024403,,,,,,,
NE,1.0,124.0,234.248133976,24.4218334722,1.23766510222e+18,234.247785077,24.4216003675,23.72474,1.160381,21.17736,0.056115,19.83115,0.02833412,19.3581,0.02499722,18.97623,0.06722139,0.197317,0.025568,,,,,,c234p2+24p4,0.23282
NE,1.0,208.0,234.24159248,24.4115001389,1.23766510222e+18,234.241033624,24.4115198733,21.63481,0.1900642,20.91336,0.04052476,20.34742,0.03817504,20.21333,0.04465886,20.4543,0.2113888,0.141625,0.074019,,,,,,c234p2+24p4,0.18828
NE,2.0,11.0,234.253633758,24.4351390278,1.23766510222e+18,234.253589495,24.4345577399,25.5766,0.7114057,21.67135,0.05911466,20.47998,0.034073,19.98718,0.02936755,19.65758,0.08035588,0.16671,0.039008,,,,,,,
NE,2.0,153.0,234.247134041,24.4178890278,1.23766510222e+18,234.24656036,24.4179323051,24.38613,0.9760727,21.52819,0.05157282,20.37243,0.03046318,19.91749,0.02683462,19.73371,0.08394958,0.295417,0.079086,,,,,,c234p2+24p4,0.233
NE,2.0,232.0,234.261342517,24.4092223611,1.23766510222e+18,234.261497337,24.4096220507,21.90448,0.2043152,20.79264,0.03225271,19.98212,0.02501131,19.65319,0.02493658,19.26588,0.06594761,0.238742,0.049678,,,,,,,
NE,3.0,23.0,234.249258796,24.4328056944,1.23766510222e+18,234.249332321,24.4331983002,19.93594,0.07044363,18.68481,0.01297238,18.05357,0.00950791,17.68321,0.009225548,17.48339,0.02656902,0.106507,0.022895,,,,,,,
NE,3.0,55.0,234.255842186,24.4293334722,1.23766510222e+18,234.256478863,24.4293552638,22.91747,0.4584883,21.20534,0.04325244,19.78501,0.02097056,19.2214,0.01745347,18.892,0.04604698,0.239469,0.018093,,,,,,c234p2+24p4,0.21114
NE,3.0,181.0,234.246050774,24.41386125,1.23766510222e+18,234.245982574,24.4134902258,23.10062,1.303543,20.82156,0.06901944,20.11199,0.05920806,19.90622,0.07002768,21.74096,1.265385,0.224156,0.110636,,,,,,,
NE,3.0,182.0,234.248259107,24.4138890278,1.23766510222e+18,234.247909448,24.4141066056,23.78376,0.9388956,21.08965,0.0427695,19.61577,0.0199334,19.09656,0.01718091,18.79478,0.04628759,0.229928,0.015915,,,,,,c234p2+24p4,0.12308
NE,3.0,191.0,234.236175803,24.41211125,1.23766510222e+18,234.236173204,24.4120569511,22.95829,0.5545791,20.92344,0.03960236,19.5394,0.01976982,18.94295,0.01603105,18.60241,0.04217286,0.224442,0.020562,,,,,,c234p2+24p4,0.23136
NE,3.0,198.0,234.251509136,24.41211125,1.23766510222e+18,234.251394741,24.4123912325,21.01107,0.2741568,18.77415,0.01660114,17.26531,0.007708962,16.73761,0.006808367,16.34662,0.01648397,0.242554,0.013597,2.43769101177e+18,234.2514,24.412391,0.2275514,5.133021e-05,c234p2+24p4,0.22669
NE,3.0,210.0,234.245925832,24.4103334722,1.23766510222e+18,234.24546324,24.4102984468,22.35515,0.3169501,21.15611,0.04474138,19.66817,0.02056717,19.15835,0.0178112,18.86071,0.04840853,0.321946,0.053712,,,,,,,
NE,3.0,219.0,234.233967527,24.40861125,1.23766510222e+18,234.234388446,24.4087774775,21.05174,0.2027925,18.86245,0.01387591,17.35691,0.006730056,16.80572,0.005917266,16.42493,0.01350852,0.243164,0.011743,2.43769046202e+18,234.23439,24.408777,0.226277,4.083399e-05,c234p2+24p4,0.22619
NW,1.0,116.0,234.232883949,24.4235279167,1.23766510222e+18,234.232317237,24.4237186962,22.02749,0.2828991,20.34895,0.02801009,18.89797,0.01351088,18.36186,0.01167693,17.94576,0.02773125,0.235547,0.021739,,,,,,c234p2+24p4,0.228
NW,1.0,148.0,234.207592367,24.41836125,1.23766510222e+18,234.20757468,24.4180450572,22.76285,0.4230149,20.91153,0.03572673,20.02326,0.02614871,19.53576,0.02302693,19.27991,0.0673064,0.079438,0.026603,,,,,,c234p2+24p4,0.22277
NW,2.0,26.0,234.225133787,24.43336125,1.23766510222e+18,234.22544438,24.4330849317,21.93354,0.1957812,21.30203,0.04590786,20.79241,0.04591568,20.49815,0.04710937,20.18859,0.1360343,0.200577,0.073351,,,,,,c234p2+24p4,0.23011
NW,3.0,2.0,234.205383769,24.4344445833,1.23766510222e+18,234.205087747,24.4346368152,21.62271,0.2450152,20.5669,0.04129719,19.29505,0.02091103,18.80404,0.01860233,18.46571,0.05128341,0.315304,0.062956,,,,,,,
NW,3.0,44.0,234.202092187,24.4292779167,1.23766510222e+18,234.202617372,24.429384582,21.81515,0.267116,21.83194,0.1066694,21.2911,0.1072778,21.21465,0.1504192,21.09915,0.4743456,0.345905,0.157879,,,,,,c234p2+24p4,0.33446
NW,3.0,210.0,234.216342499,24.4103334722,1.23766510222e+18,234.216767858,24.4100269159,22.45535,0.3122457,21.14598,0.04137652,19.78015,0.02100124,19.32069,0.01889457,18.9182,0.04742775,0.289926,0.064883,,,,,,c234p2+24p4,0.22898
SE,1.0,48.0,234.240509278,24.4035001389,1.23766510222e+18,234.240053771,24.4033849644,23.35115,0.6702341,20.8511,0.03408841,19.42673,0.01679286,18.88995,0.01433579,18.56916,0.03716754,0.224636,0.015098,,,,,,c234p2+24p4,0.22168
SE,1.0,64.0,234.243800973,24.4017501389,1.23766510222e+18,234.244190923,24.4013354086,22.73123,0.3338055,21.47558,0.04685107,20.05651,0.02288427,19.54949,0.0196481,19.18351,0.05045351,0.300363,0.051841,,,,,,c234p2+24p4,0.22532
SE,1.0,221.0,234.238301284,24.3828056944,1.23766510222e+18,234.238102423,24.3824162036,23.63954,0.8087739,21.58526,0.05940689,20.17401,0.02856008,19.65092,0.02426553,19.32382,0.06661505,0.233969,0.022275,,,,,,,
SE,2.0,80.0,234.245967676,24.3995556944,1.23766510222e+18,234.246076011,24.3993432948,23.80772,0.8650817,20.69934,0.02945436,19.23749,0.01439957,18.70733,0.01246459,18.40837,0.03162208,0.234268,0.016522,,,,,,c234p2+24p4,0.22827
SE,2.0,83.0,234.252592676,24.3995279167,1.23766510222e+18,234.253167585,24.3993648278,23.73598,0.9228146,21.32342,0.05152685,19.97084,0.02608876,19.50718,0.02324743,19.15833,0.06315627,0.212111,0.013388,,,,,,,
SE,2.0,95.0,234.247051039,24.3977501389,1.23766510222e+18,234.247473661,24.3977369336,22.5447,0.4085145,20.86654,0.03906701,19.35285,0.01777844,18.81567,0.0152656,18.45021,0.03854578,0.251046,0.021342,,,,,,,
SE,2.0,166.0,234.243842847,24.3891390278,1.23766510222e+18,234.243713071,24.3894751111,22.60536,0.3900279,20.72172,0.03205155,19.42999,0.01725733,18.89338,0.01478851,18.4856,0.03666114,0.187493,0.017292,,,,,,c234p2+24p4,0.226
SE,2.0,166.0,234.243842847,24.3891390278,1.23766510222e+18,234.243713071,24.3894751111,22.60536,0.3900279,20.72172,0.03205155,19.42999,0.01725733,18.89338,0.01478851,18.4856,0.03666114,0.187493,0.017292,,,,,,c234p2+24p4,0.226
SE,2.0,239.0,234.244842988,24.3805556944,1.23766510222e+18,234.244431828,24.3808143107,23.52376,0.6491536,21.05106,0.03531061,19.5701,0.01683434,19.07163,0.01473682,18.74596,0.03746895,0.235322,0.019844,,,,,,,
SE,3.0,108.0,234.244926076,24.3954723611,1.23766510222e+18,234.244618378,24.395965562,21.84356,0.3800424,19.20794,0.01673266,17.69747,0.007943643,17.15402,0.006992181,16.80884,0.01674425,0.245438,0.015255,2.43769183641e+18,234.24462,24.395965,0.2243999,4.398453e-05,c234p2+24p4,0.2237
SW,1.0,15.0,234.202217555,24.4068890278,1.23766510222e+18,234.202556176,24.4068023643,22.82681,0.4112795,21.61588,0.05753025,20.25964,0.02894849,19.74724,0.02475104,19.37613,0.06571697,0.36663,0.120711,,,,,,,
SW,1.0,66.0,234.218592639,24.4018056944,1.23766510222e+18,234.218697098,24.4023215551,22.9318,0.5082824,21.73463,0.07264389,20.28884,0.03344297,19.80602,0.02944282,19.56094,0.08830668,0.326121,0.067824,,,,,,,
SW,1.0,142.0,234.226259447,24.3931945833,1.23766510222e+18,234.226128695,24.3937153483,22.44525,0.2561518,21.55159,0.04873482,20.14861,0.02393434,19.58076,0.01964595,19.23179,0.05095194,0.345745,0.059638,,,,,,c234p2+24p4,0.25478
SW,2.0,185.0,234.224092875,24.3874445833,1.23766510222e+18,234.223573085,24.3875940792,25.7821,0.8534209,20.89288,0.0407306,19.5791,0.02125639,19.1229,0.01924925,18.85744,0.05495276,0.198113,0.031287,,,,,,c234p2+24p4,0.22437
SW,2.0,246.0,234.23067632,24.3806390278,1.23766510222e+18,234.230903406,24.3801238125,22.01826,0.2768636,20.29184,0.02646267,18.95196,0.01390109,18.40623,0.01195347,18.07419,0.03036246,0.221609,0.024298,,,,,,,
SW,3.0,65.0,234.216384324,24.4006668056,1.23766510222e+18,234.216651757,24.4007297309,23.58019,0.6565139,21.55334,0.05080845,20.31138,0.02809628,19.70614,0.02234531,19.51483,0.06718838,0.207571,0.024516,,,,,,c234p2+24p4,0.22029
SW,3.0,181.0,234.216467883,24.3869168056,1.23766510222e+18,234.216436347,24.387128764,23.33911,0.818685,20.98886,0.04518375,19.59972,0.0221799,19.10857,0.01964472,18.77553,0.0530025,0.211393,0.01247,,,,,,c234p2+24p4,0.22788
SW,3.0,191.0,234.206592912,24.3851668056,1.23766510222e+18,234.206939927,24.3848655016,25.7181,0.8450038,20.55775,0.03033576,19.20858,0.01571248,18.66192,0.01349379,18.31342,0.03407409,0.218786,0.029416,,,,,,c234p2+24p4,0.2247
SW,3.0,210.0,234.216342941,24.3833890278,1.23766510222e+18,234.216905435,24.3834864558,22.1717,0.2994124,21.91928,0.09406081,20.59718,0.04879925,19.91861,0.03610727,19.45231,0.09248054,0.508539,0.098038,,,,,,,
,,,,,1.23766510222e+18,,,22.3919,0.2252156,21.43837,0.04143027,24.8022,0.6575698,24.3618,0.5702381,19.82607,0.07408422,0.44488,0.222197,,,,,,,
,,,,,1.23766510222e+18,,,23.38393,0.5710564,21.38655,0.0445,20.0396,0.02291089,19.58628,0.02035088,19.33442,0.05839508,0.268178,0.045697,,,,,,,
,,,,,1.23766510222e+18,,,13.7447,0.003664355,11.67538,0.0005623919,11.31274,0.0005534114,11.22195,0.0005162978,13.88943,0.02001022,0.123258,-1000.0,,,,,,,
