tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err,cluster,Q,redshift,redshift_err
NE,1.0,62.0,328.342756676,0.211534141667,5.87731186727e+17,328.34258267,0.21106047,328.34258267,0.21106047,24.139698,1.224196,21.89579,0.074296,20.970228,0.053391,20.418592,0.048035,20.195074,0.172603,328.34258267,0.21106047,0.109741,0.036102,c328p33+0p19,1.0,0.07663,7e-05
NE,1.0,172.0,328.359756678,0.199561919444,5.87734304876e+17,328.36001447,0.1994361,328.36001447,0.1994361,23.229143,1.32585,21.873425,0.129974,20.705847,0.075267,20.110973,0.06602,19.968494,0.26052,328.36001447,0.1994361,0.167886,0.056303,,,,
NE,1.0,182.0,328.350798345,0.197839697222,5.87734304876e+17,328.35071266,0.19832467,328.35071266,0.19832467,27.805925,0.597328,21.922277,0.289475,21.946934,0.494668,20.246683,0.161485,24.804049,1.23693,328.35071266,0.19832467,0.414424,0.182843,,,,
NE,1.0,215.0,328.358756679,0.194367475,5.87734304876e+17,328.35925216,0.1945042,328.35925216,0.1945042,20.597483,0.437282,18.227455,0.018159,16.710634,0.008278699,16.141535,0.007478366,15.768666,0.022325,328.35925216,0.1945042,0.236253,0.011676,c328p33+0p19,0.0,0.21586,9e-05
NE,2.0,138.0,328.348756678,0.202395252778,5.87734304876e+17,328.34831509,0.20243937,328.34831509,0.20243937,23.121624,0.900795,21.364775,0.063258,20.121231,0.034624,19.497684,0.029673,19.212706,0.100493,328.34831509,0.20243937,0.197596,0.022592,c328p33+0p19,0.0,0.2737,0.00018
NE,2.0,220.0,328.338840013,0.192006363889,5.87734304876e+17,328.33894725,0.19186223,328.33894725,0.19186223,22.251806,0.462859,20.560453,0.034735,19.116808,0.01895,18.55838,0.015459,18.087574,0.040271,328.33894725,0.19186223,0.210957,0.031151,c328p33+0p19,0.0,0.21917,0.00016
NE,3.0,129.0,328.360756678,0.203589697222,5.87734304876e+17,328.36090259,0.20345186,328.36090259,0.20345186,25.734022,1.219621,21.514879,0.070054,19.971285,0.029934,19.374668,0.026011,19.048349,0.082825,328.36090259,0.20345186,0.253667,0.017917,c328p33+0p19,0.0,0.21718,0.00017
NE,3.0,154.0,328.352756678,0.200145252778,5.87734304876e+17,328.35321203,0.19986756,328.35321203,0.19986756,22.441236,0.461169,21.587481,0.069333,20.860672,0.058402,20.61363,0.06815,20.165873,0.201761,328.35321203,0.19986756,0.291505,0.038517,c328p33+0p19,0.0,0.28089,5e-05
NE,3.0,161.0,328.337756678,0.198339697222,5.87734304876e+17,328.3381717,0.19835973,328.3381717,0.19835973,25.278187,1.313914,21.764156,0.071581,20.305996,0.032959,19.963493,0.034709,19.425001,0.093043,328.3381717,0.19835973,0.202539,0.024459,,,,
NE,3.0,168.0,328.351798345,0.198423030556,5.87734304876e+17,328.35227346,0.19826313,328.35227346,0.19826313,21.608536,0.299489,21.490253,0.086425,20.999601,0.090717,20.538784,0.088738,21.689634,1.030405,328.35227346,0.19826313,0.02977,0.062442,c328p33+0p19,0.0,0.22101,9e-05
NE,3.0,174.0,328.363798345,0.198367475,5.87734304876e+17,328.36332264,0.19824694,328.36332264,0.19824694,25.127914,1.51663,21.32597,0.053479,19.85018,0.02449,19.289173,0.021841,18.866009,0.063113,328.36332264,0.19824694,0.224375,0.021735,c328p33+0p19,0.0,0.21608,0.00014
NW,1.0,206.0,328.313798346,0.194311919444,5.87734304876e+17,328.31393884,0.19438513,328.31393884,0.19438513,22.698111,0.633017,21.329855,0.062138,19.959461,0.030518,19.389851,0.02719,18.921837,0.079039,328.31393884,0.19438513,0.26428,0.048674,c328p33+0p19,0.0,0.21699,9e-05
NW,2.0,55.0,328.329756676,0.212728586111,5.87731186727e+17,328.33002332,0.21286289,328.33002332,0.21286289,24.921875,2.386293,21.452271,0.09035,20.201805,0.049039,19.840492,0.053349,19.478197,0.175028,328.33002332,0.21286289,0.125752,0.02719,c328p33+0p19,0.0,0.2134,0.00022
NW,3.0,151.0,328.319798345,0.200117475,5.87734304876e+17,328.31990149,0.19986906,328.31990149,0.19986906,22.286575,0.576827,20.55934,0.041214,19.203045,0.021026,18.59771,0.018665,18.144039,0.052946,328.31990149,0.19986906,0.201676,0.024357,c328p33+0p19,0.0,0.21664,8e-05
NW,3.0,217.0,328.335798346,0.193228586111,5.87734304876e+17,328.33586188,0.19304171,328.33586188,0.19304171,23.821453,1.422789,21.984875,0.102866,20.710897,0.054602,20.573761,0.070093,19.713005,0.145391,328.33586188,0.19304171,0.151084,0.037486,c328p33+0p19,1.0,0.21884,0.0002
