,tile,dither,fiber,ra,dec,redshift,seperation,LOSV
0,NE,D1,193.0,319.70952431,0.56446718,0.27853,0.1000061744483354,639.4029378082125
1,NE,D1,216.0,319.7260163,0.56271169,0.27645,0.3292066851305865,151.92907476968463
2,NE,D2,220.0,319.7044648,0.56036677,0.27577,0.0008210177150220305,-7.437380454437701
3,NE,D3,21.0,319.7134431,0.58387861,0.274,0.379513663949376,-422.25888890548595
4,NE,D3,118.0,319.70467432,0.5722968,0.27607,0.18099789305159214,62.87134979149518
5,NW,D1,25.0,319.69423956,0.58527106,0.27288,0.40419640192677564,-684.744815157
6,NW,D2,21.0,319.68553594,0.58477639,0.27878,0.4706509208719933,697.9935463464899
8,NW,D2,153.0,319.68853697,0.56956984,0.27671,0.2784471941927535,212.86330764950876
9,NW,D2,209.0,319.68453946,0.5618284,0.26911,0.29622573378209005,-1568.2911919143194
10,NW,D3,161.0,319.67601718,0.56726268,0.27337,0.4393275532589639,-569.9072224219658
12,SE,D1,55.0,319.72309678,0.55504218,0.27216,0.2909108575768461,-853.485767747257
13,SE,D1,185.0,319.72172605,0.53927767,0.2775,0.4141833996576736,398.00963063048874
14,SE,D2,19.0,319.70835606,0.55728547,0.27939,0.07611016310176832,840.9546311799153
15,SE,D2,24.0,319.71861174,0.55756539,0.27843,0.22025173750118965,615.9666943929014
16,SE,D2,42.0,319.7248232,0.55591048,0.27576,0.3158091765363196,-9.7810047959714
19,SW,D1,120.0,319.68085788,0.54598628,0.28063,0.4224557604309816,1131.5640495297946
20,SW,D1,152.0,319.68759828,0.54262882,0.2771,0.3706840776790827,304.2646569692319
21,SW,D1,167.0,319.68783899,0.54085633,0.279,0.39014600862394333,749.5532818601922
22,SW,D2,206.0,319.67791459,0.53503008,0.27028,0.5463417599150623,-1294.08714395515
23,SW,D3,220.0,319.67847806,0.53273961,0.27405,0.5703091289328847,-410.5407671978304
