,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,70.0,16.250631691800002,0.0798396972222,5.880155092764596e+17,16.25095657,0.08009885,22.978351999999997,1.0322719999999999,20.799847,0.048764999999999996,19.424837,0.024388,18.873993,0.023968,18.715052,0.086302,0.208513,0.026101,,,,,
1,NE,D1,94.0,16.2405900254,0.07633969722219999,5.880155092764596e+17,16.24051812,0.07679443,21.892360999999998,0.44470200000000004,20.608747,0.045158,20.087661999999998,0.043437,19.835562,0.05717100000000001,19.758354,0.243558,0.034386,0.020954,,,,,
2,NE,D1,176.0,16.230590025999998,0.06603414166669999,5.880155092764596e+17,16.23084491,0.06600662,26.377329,0.6030409999999999,21.959135,0.093283,20.473406,0.038667,19.896334,0.037013,19.566975,0.120197,0.25854,0.021325,,,,,
3,NE,D1,195.0,16.2396316927,0.0642563638889,5.880155092764596e+17,16.23942757,0.0644518,23.960007,1.78372,21.885818,0.115418,20.83486,0.066424,20.512905,0.08557200000000001,19.894987,0.21448899999999999,0.11599100000000001,0.0204,,,,,
4,NE,D1,223.0,16.2376316929,0.0608396972222,5.880155092764593e+17,16.23723991,0.06100216,23.277719,1.280746,20.950687,0.053058,19.381058,0.021261000000000002,18.762179999999997,0.01998,18.580576,0.074303,0.285152,0.025079,,,,,
5,NE,D2,42.0,16.251590025,0.0826730305556,5.880155092764596e+17,16.25187208,0.08261433,26.184013,1.008116,21.105944,0.061752999999999995,19.802155,0.030452999999999997,19.196697,0.029077999999999996,18.805613,0.090935,0.23536300000000002,0.035624,,,,,
6,NE,D2,168.0,16.2426316926,0.06720080833330001,5.880155092764591e+17,16.24269869,0.06739715,25.530676,1.7900060000000002,21.154064,0.069458,19.750201999999998,0.032943,19.153694,0.033808,18.545807,0.077173,0.278634,0.049968,,,,,
7,NE,D2,186.0,16.249590026,0.06550636388890001,5.880155092764596e+17,16.24981016,0.06598115,22.328352,0.487622,21.306557,0.062846,20.433220000000002,0.044160000000000005,20.259529,0.060979,20.506523,0.341212,0.052320000000000005,0.056173,,,,,
8,NE,D2,213.0,16.245631692899998,0.062006363888900004,5.880155092764591e+17,16.24610529,0.06193501,22.880707,0.788042,21.504244,0.075374,20.090933,0.033286,19.490253,0.031426,19.21706,0.10772999999999999,0.25116700000000003,0.042204000000000005,,,,,
9,NE,D2,216.0,16.2516316929,0.062034141666699995,5.880155092764596e+17,16.25202953,0.06241728,21.051351999999998,0.24982100000000002,19.444992000000003,0.020481,18.846342,0.018276,18.531755,0.022037,18.366332999999997,0.085136,0.050838999999999995,0.028054000000000003,,,,,
10,NE,D2,220.0,16.2307150263,0.0602563638889,5.880155092764593e+17,16.23069905,0.06009601,22.572563,1.6088959999999999,18.871084,0.020030000000000003,17.270252,0.008391605,16.647642,0.007804753,16.286087,0.022883,0.304458,0.022838,,,,,
11,NE,D3,38.0,16.244548358299998,0.0820896972222,5.880155092764593e+17,16.24399591,0.08198321,22.273687,0.44643,21.554392,0.074033,19.951494,0.029633,19.344348999999998,0.027943,18.952747,0.081123,0.340916,0.051902,,,,,
12,NE,D3,106.0,16.235631692200002,0.0735341416667,5.880155092764593e+17,16.23560649,0.07309766,22.231554,0.662237,20.010864,0.030406,18.357464,0.012628,17.755489,0.011847,17.355759,0.032094,0.30991599999999997,0.017159,,,,,
13,NE,D3,118.0,16.2306316923,0.07175636388889998,5.880155092764593e+17,16.23032074,0.07209334,22.137179999999997,0.48531199999999997,21.098372,0.061085,19.489716,0.023678,18.901142,0.025653,18.4891,0.066719,0.323969,0.042585000000000005,,,,,
14,NE,D3,160.0,16.2275900259,0.066617475,5.880155092764591e+17,16.22734718,0.06685065,21.56805,0.376771,19.767078,0.025677999999999996,18.189041,0.010947,17.629274,0.010516,17.220371,0.029373000000000003,0.277545,0.018324,1.1168664083287245e+17,16.227377,0.06683539,0.275801,0.000166744
15,NW,D1,156.0,16.2215483591,0.0694508083333,5.880155092764596e+17,16.22110373,0.06972063,22.540241,0.602742,21.414998999999998,0.07156900000000001,20.216341,0.037712999999999997,19.847948000000002,0.044043,19.34778,0.12598,0.27334400000000003,0.085866,,,,,
16,NW,D1,163.0,16.2065900259,0.0677285861111,5.880155092764595e+17,16.20649144,0.068285,24.283657,1.688318,21.992365,0.10186100000000001,20.527386,0.042972,19.961605,0.042229,19.622459,0.140724,0.25004,0.013040000000000001,,,,,
17,NW,D2,127.0,16.2205066923,0.072367475,5.880155092764596e+17,16.22036305,0.07262499,22.719749,0.694918,21.265048999999998,0.061522,19.91144,0.029119,19.369291,0.029092000000000003,19.056541,0.096881,0.23012800000000003,0.031944,,,,,
18,NW,D2,173.0,16.2255483592,0.067117475,5.880155092764591e+17,16.22590442,0.06744078,22.728172,0.681021,21.081306,0.051106,19.619493,0.022622,18.903837,0.019163,18.568748,0.059352999999999996,0.310907,0.058784,,,,,
19,NW,D2,229.0,16.2215483596,0.0603396972222,5.880155092764591e+17,16.22141259,0.06052521,22.286148,0.510759,20.863867000000003,0.047266,19.417881,0.021064,18.869028,0.020613999999999997,18.384792,0.057092,0.254337,0.051940999999999994,,,,,
20,NW,D3,122.0,16.211548359000002,0.071867475,5.880155092764595e+17,16.21161236,0.0715115,22.770283,0.902874,21.457608999999998,0.089042,20.05715,0.039739,19.632114,0.044513,19.296412,0.148018,0.204465,0.076677,,,,,
21,NW,D3,127.0,16.2215066923,0.07181191944439999,5.880155092764596e+17,16.22154184,0.07163733,22.117466,0.442605,21.977318,0.122216,21.356335,0.104736,21.056301,0.14133099999999998,20.37056,0.331966,0.345061,0.028298,,,,,
22,NW,D3,187.0,16.225590026,0.0649785861111,5.880155092764591e+17,16.2252146,0.06456228,22.17152,0.463099,20.927895,0.049052,19.348595,0.019833,18.766764000000002,0.018841999999999998,18.313339000000003,0.053217999999999994,0.299018,0.037888,,,,,
23,NW,D3,207.0,16.2075483595,0.06145080833330001,5.880155092764595e+17,16.20730956,0.06175928,22.380714,0.525371,21.952034,0.114297,20.796557999999997,0.06202100000000001,20.298685,0.06571,19.987106,0.22266,0.31838099999999997,0.107422,,,,,
24,SE,D1,25.0,16.2475483597,0.0579785861111,5.880155092764596e+17,16.24717079,0.05837113,22.878344,0.808055,21.781164,0.097776,20.455116,0.0466,19.94409,0.047939999999999997,19.988701000000002,0.219602,0.18800799999999998,0.116129,,,,,
25,SE,D1,50.0,16.2395900265,0.0545063638889,5.880155092764593e+17,16.23933715,0.05491981,24.096989,1.8515240000000002,21.033929999999998,0.05251,19.511072,0.022389,18.887522,0.021016999999999997,18.602463,0.065868,0.276521,0.019008,,,,,
26,SE,D1,148.0,16.232590027,0.042478586111099996,5.880155092764596e+17,16.23264123,0.04199883,24.258175,2.0033830000000004,21.81242,0.10422999999999999,20.462864,0.047594,19.803181,0.043318,19.344595,0.12998900000000002,0.197023,0.032013,,,,,
27,SE,D2,191.0,16.2306316939,0.0367563638889,5.880155092764596e+17,16.23055339,0.0372746,23.207462,1.128412,21.168163,0.061486,19.789494,0.028091,19.310349,0.02935,19.034966,0.10074,0.211404,0.020062,,,,,
