tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,82,319.719298225,0.578339697222,587730847964071091,319.71986814,0.5782262
NE,D1,193,319.709298232,0.564561919444,587730847964070634,319.70952431,0.56446718
NE,D1,216,319.726298232,0.562867475,587730847964070654,319.7260163,0.56271169
NE,D2,69,319.721298225,0.579561919444,587730847964071100,319.72160615,0.57946191
NE,D2,149,319.707214896,0.569145252778,587730847964071036,319.70686153,0.56922348
NE,D2,220,319.7043399,0.560506363889,587730847964070620,319.7044648,0.56036677
NE,D2,224,319.712256567,0.560506363889,587730847964070373,319.71215138,0.56024282
NE,D3,21,319.713256556,0.584034141667,587730847964070641,319.7134431,0.58387861
NE,D3,66,319.716256558,0.578978586111,587730847964071061,319.71589496,0.57899662
NE,D3,75,319.705214892,0.577200808333,587730847964070629,319.70543456,0.57683923
NE,D3,77,319.709298226,0.577228586111,587730847964071044,319.70921151,0.57696508
NE,D3,118,319.704256562,0.572006363889,587730847964070626,319.70467432,0.5722968
NE,D3,178,319.708298231,0.565117475,587730847964070632,319.70854684,0.56538105
NE,D3,187,319.726298231,0.565256363889,587730847964070655,319.72670334,0.56543374
NE,D3,214,319.722173233,0.561756363889,587730847964070649,319.72254015,0.56157383
NE,D3,235,319.706298235,0.558339697222,587730847964070621,319.7063354,0.55851077
NW,D1,25,319.694256555,0.585200808333,587730847964071002,319.69423956,0.58527106
NW,D1,32,319.679256556,0.583423030556,587730847964070958,319.67909807,0.58323089
NW,D2,21,319.685298222,0.584589697222,587730847964070980,319.68553594,0.58477639
NW,D2,112,319.693214894,0.574395252778,587730847964071000,319.69339205,0.57396916
NW,D2,153,319.688339896,0.569200808333,587730847964070988,319.68853697,0.56956984
NW,D2,209,319.684339899,0.562284141667,587730847964070597,319.68453946,0.5618284
NW,D3,149,319.681256563,0.568589697222,587730847964070963,319.68121145,0.56846497
NW,D3,161,319.676298231,0.566839697222,587730847964070945,319.67601718,0.56726268
NW,D3,191,319.678339899,0.563423030556,587730847964070954,319.67821763,0.56364149
NW,D3,218,319.6743399,0.559950808333,587730847964005136,319.67406956,0.56012264
SE,D1,55,319.723214903,0.554839697222,587730847964071107,319.72309678,0.55504218
SE,D1,185,319.722256576,0.539339697222,587730847964071099,319.72172605,0.53927767
SE,D2,14,319.727173234,0.559478586111,587730847964070410,319.72710769,0.5594783
SE,D2,19,319.708214901,0.557728586111,587730847964070372,319.70835606,0.55728547
SE,D2,24,319.718131568,0.557756363889,587730847964070647,319.71861174,0.55756539
SE,D2,42,319.725256569,0.556006363889,587730847964071106,319.7248232,0.55591048
SE,D2,49,319.710214903,0.554284141667,587730847964071049,319.71041404,0.55478466
SE,D2,155,319.719214908,0.542173030556,587730847964071089,319.71946125,0.54228391
SE,D2,240,319.715214913,0.531895252778,587730847964071072,319.71550951,0.53230416
SE,D3,56,319.725214903,0.553700808333,587730847964070878,319.72540654,0.55343608
SE,D3,223,319.711256579,0.533034141667,587730847964071053,319.71126376,0.53353174
SW,D1,100,319.699298238,0.549673030556,587730847964069983,319.69909145,0.54971307
SW,D1,106,319.682298239,0.547978586111,587730847964070593,319.68201,0.54748477
SW,D1,120,319.681256573,0.546173030556,587730847964070592,319.68085788,0.54598628
SW,D1,152,319.687298241,0.542756363889,587730847964070603,319.68759828,0.54262882
SW,D1,167,319.688339909,0.541089697222,587730847964070604,319.68783899,0.54085633
SW,D2,38,319.690256569,0.555950808333,587730847964070870,319.6898511,0.55613192
SW,D2,122,319.68429824,0.545756363889,587730847964070808,319.6841798,0.54601718
SW,D2,192,319.679339911,0.537034141667,587730847964070309,319.67958278,0.53698865
SW,D2,206,319.678298245,0.535311919444,587730847964070307,319.67791459,0.53503008
SW,D3,220,319.678381579,0.533034141667,587730847964070308,319.67847806,0.53273961
