objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z
587730847964070620,319.7044648,0.56036677,20.909496,0.278853,19.015795,0.022111,17.416439,8.706121E-3,16.800909,8.317101E-3,16.390743,0.018323
587730847964070621,319.7063354,0.55851077,23.130402,1.013315,21.845905,0.139248,20.170223,0.043677,19.643606,0.045617,19.469282,0.135308
587730847964070372,319.70835606,0.55728547,23.976593,1.619689,20.640083,0.042833,19.071424,0.01662,18.464241,0.01595,18.177,0.039781
587730847964070632,319.70854684,0.56538105,22.195801,0.51974,20.555904,0.049589,19.007275,0.019096,18.337786,0.017528,17.888216,0.038828
587730847964070373,319.71215138,0.56024282,25.328011,1.265478,21.474693,0.070316,20.060509,0.029724,19.485891,0.029413,19.080606,0.068656
587730847964070634,319.70952431,0.56446718,23.816511,1.2936,21.614939,0.086394,20.088097,0.032925,19.483747,0.032011,18.948521,0.067761
587730847964071049,319.71041404,0.55478466,23.143909,0.724737,21.633354,0.079953,20.56204,0.044902,20.102215,0.050081,19.824106,0.130829
587730847964069983,319.69909145,0.54971307,21.073782,0.21364,19.428152,0.021783,18.196234,0.011399,17.663017,0.011565,17.306932,0.026779
587730847964070017,319.71143309,0.56858862,21.908422,0.310148,21.722359,0.105479,21.155174,0.088987,20.837475,0.113069,20.942564,0.424575
587730847964070606,319.68908997,0.56579215,22.844721,0.655956,21.099764,0.058217,19.665375,0.025933,19.060078,0.024285,18.725193,0.058298
587730847964070626,319.70467432,0.5722968,23.553307,1.245892,20.413914,0.03616,18.849731,0.014257,18.244013,0.013731,17.803406,0.029899
587730847964070647,319.71861174,0.55756539,21.859188,0.364067,20.770414,0.056863,19.298903,0.026898,18.71862,0.024049,18.441946,0.060367
587730847964070870,319.6898511,0.55613192,21.873972,0.313387,21.455191,0.085785,20.542974,0.056379,20.383152,0.078587,20.498796,0.307265
587730847964071036,319.70686153,0.56922348,24.164673,1.325846,21.772673,0.085699,20.655025,0.045758,20.035238,0.044053,19.756308,0.117099
587730847964070410,319.72710769,0.5594783,25.939957,1.577302,21.884445,0.179172,21.613256,0.20568,21.561235,0.334844,22.203611,1.644973
587730847964070597,319.68453946,0.5618284,23.686562,1.372154,20.864668,0.051343,19.242064,0.020033,18.625582,0.019425,18.228291,0.041597
587730847964070629,319.70543456,0.57683923,21.623922,0.213329,20.12027,0.024687,19.152504,0.01531,18.571175,0.015106,18.203835,0.035085
587730847964070649,319.72254015,0.56157383,25.103889,1.505537,21.480453,0.076189,19.899343,0.027853,19.321579,0.027678,18.928736,0.065429
587730847964070654,319.7260163,0.56271169,23.000572,0.711901,21.281839,0.066936,19.710453,0.02402,19.026649,0.022105,18.554979,0.04887
587730847964070655,319.72670334,0.56543374,22.468798,0.547851,21.287825,0.076609,19.816879,0.030577,19.304558,0.032055,18.937338,0.078833
587730847964070657,319.72490754,0.56520328,22.687277,0.625763,21.332066,0.08075,20.500626,0.052441,19.883955,0.051393,19.854145,0.171156
587730847964070878,319.72540654,0.55343608,21.37295,0.179791,20.475498,0.032482,19.857946,0.026587,19.520527,0.031717,19.374784,0.096069
587730847964070988,319.68853697,0.56956984,24.042891,1.38755,21.548498,0.07777,20.628256,0.048299,19.98583,0.045673,19.563448,0.108068
587730847964071000,319.69339205,0.57396916,23.114401,0.69895,21.841415,0.093777,20.329124,0.035982,19.694471,0.034029,19.140896,0.071805
587730847964071044,319.70921151,0.57696508,23.273602,0.84377,21.62027,0.082696,20.139677,0.03287,19.485897,0.030663,19.234583,0.082965
587730847964071061,319.71589496,0.57899662,22.127848,0.334026,20.957777,0.047906,20.200199,0.034379,19.717739,0.037275,19.372066,0.09708
587730847964071089,319.71946125,0.54228391,23.416084,0.897535,21.797276,0.092239,20.334255,0.036467,19.73826,0.035866,19.254791,0.079471
587730847964071091,319.71986814,0.5782262,23.42219,0.739951,21.792902,0.077127,20.469828,0.03436,19.936598,0.03539,19.567211,0.086126
587730847964071106,319.7248232,0.55591048,23.371592,1.040437,21.462181,0.081459,19.969603,0.031546,19.333498,0.030153,18.899826,0.069422
587730847964071107,319.72309678,0.55504218,25.019258,3.862877,20.280478,0.062161,18.899429,0.026923,18.375025,0.027996,17.941338,0.065478
587730847964005136,319.67406956,0.56012264,21.819065,0.317775,20.1563,0.030832,19.077564,0.017991,18.584387,0.020078,18.195375,0.043242
587730847964069916,319.68278516,0.59000727,20.794065,0.170323,18.627611,0.014535,17.564686,7.815727E-3,16.937555,7.47851E-3,16.68218,0.016282
587730847964070307,319.67791459,0.53503008,22.108126,0.575272,19.110664,0.018196,17.624933,8.092547E-3,17.06979,7.977616E-3,16.724638,0.017986
587730847964070309,319.67958278,0.53698865,22.610996,1.042876,21.36982,0.137165,20.327208,0.077754,19.990074,0.098432,20.030813,0.355875
587730847964070408,319.73082922,0.55908732,22.485741,0.505764,20.952341,0.054506,20.034189,0.035858,19.737524,0.044887,19.347998,0.108755
587730847964070592,319.68085788,0.54598628,22.080664,0.415508,20.746552,0.051703,19.216263,0.020392,18.616943,0.019767,18.20479,0.045611
587730847964070593,319.68201,0.54748477,23.142412,0.74161,21.77457,0.092685,20.523439,0.043604,19.992506,0.045732,19.705317,0.123723
587730847964070603,319.68759828,0.54262882,23.68965,1.800927,20.276852,0.040781,18.621101,0.014634,18.033508,0.014297,17.652449,0.033407
587730847964070604,319.68783899,0.54085633,22.534849,0.517636,21.461088,0.079658,19.913773,0.029888,19.305277,0.028977,18.915283,0.07526
587730847964070641,319.7134431,0.58387861,23.012821,0.673693,21.019644,0.04893,19.56027,0.020238,18.9802,0.019857,18.62528,0.047504
