# tile dither fiber fiber_ra fiber_dec
NE D1 1 322.514381652 -0.325743636111
NE D1 2 322.516339985 -0.325799191667
NE D1 3 322.518381652 -0.325715858333
NE D1 4 322.520381652 -0.325715858333
NE D1 5 322.522298318 -0.325715858333
NE D1 6 322.524381652 -0.325771413889
NE D1 7 322.526423318 -0.325688080556
NE D1 8 322.528339985 -0.325771413889
NE D1 9 322.530339985 -0.325660302778
NE D1 10 322.532381652 -0.325715858333
NE D1 11 322.534339985 -0.325660302778
NE D1 12 322.536339985 -0.325660302778
NE D1 13 322.538298318 -0.325688080556
NE D1 14 322.540298318 -0.325715858333
NE D1 15 322.513423318 -0.327521413889
NE D1 16 322.515339985 -0.327493636111
NE D1 17 322.517339985 -0.327465858333
NE D1 18 322.519339985 -0.327410302778
NE D1 19 322.521339985 -0.327465858333
NE D1 20 322.523381651 -0.327493636111
NE D1 21 322.525381651 -0.327521413889
NE D1 22 322.527339984 -0.327521413889
NE D1 23 322.529339985 -0.327438080556
NE D1 24 322.531256651 -0.327438080556
NE D1 25 322.533339985 -0.327493636111
NE D1 26 322.535339985 -0.327438080556
NE D1 27 322.537339985 -0.327438080556
NE D1 28 322.539381651 -0.327438080556
NE D1 29 322.541298318 -0.327465858333
NE D1 30 322.514381651 -0.329188080556
NE D1 31 322.516339984 -0.329188080556
NE D1 32 322.518339984 -0.329271413889
NE D1 33 322.520339984 -0.329188080556
NE D1 34 322.522339984 -0.329243636111
NE D1 35 322.524381651 -0.329243636111
NE D1 36 322.526339984 -0.329132525
NE D1 37 322.528381651 -0.329160302778
NE D1 38 322.530339984 -0.329215858333
NE D1 39 322.532381651 -0.329132525
NE D1 40 322.534381651 -0.329188080556
NE D1 41 322.536298317 -0.329215858333
NE D1 42 322.538381651 -0.329188080556
NE D1 43 322.540339984 -0.329132525
NE D1 44 322.513339984 -0.330938080556
NE D1 45 322.51538165 -0.330938080556
NE D1 46 322.517339984 -0.330965858333
NE D1 47 322.51938165 -0.330938080556
NE D1 48 322.52138165 -0.330910302778
NE D1 49 322.523339984 -0.330910302778
NE D1 50 322.52538165 -0.330938080556
NE D1 51 322.52738165 -0.330910302778
NE D1 52 322.52938165 -0.330938080556
NE D1 53 322.531423317 -0.330938080556
NE D1 54 322.53338165 -0.330910302778
NE D1 55 322.535339984 -0.330910302778
NE D1 56 322.537339984 -0.330938080556
NE D1 57 322.539339984 -0.330882525
NE D1 58 322.54138165 -0.330938080556
NE D1 59 322.51438165 -0.332632525
NE D1 60 322.51638165 -0.332632525
NE D1 61 322.518423316 -0.332604747222
NE D1 62 322.52038165 -0.332632525
NE D1 63 322.522298316 -0.332604747222
NE D1 64 322.52438165 -0.332660302778
NE D1 65 322.526339983 -0.332632525
NE D1 66 322.52838165 -0.332604747222
NE D1 67 322.530339983 -0.332576969444
NE D1 68 322.532339983 -0.332604747222
NE D1 69 322.534423316 -0.332576969444
NE D1 70 322.53638165 -0.332604747222
NE D1 71 322.53838165 -0.332604747222
NE D1 72 322.54038165 -0.332604747222
NE D1 73 322.513381649 -0.334354747222
NE D1 74 322.515339983 -0.334382525
NE D1 75 322.517339983 -0.334354747222
NE D1 76 322.519381649 -0.334354747222
NE D1 77 322.521423316 -0.334354747222
NE D1 78 322.523381649 -0.334382525
NE D1 79 322.525381649 -0.334299191667
NE D1 80 322.527339983 -0.334299191667
NE D1 81 322.529381649 -0.334326969444
NE D1 82 322.531423316 -0.334354747222
NE D1 83 322.533381649 -0.334326969444
NE D1 84 322.535381649 -0.334410302778
NE D1 85 322.537339983 -0.334354747222
NE D1 86 322.539339983 -0.334326969444
NE D1 87 322.541339983 -0.334299191667
NE D1 88 322.514381649 -0.336132525
NE D1 89 322.516339982 -0.336132525
NE D1 90 322.518381649 -0.336049191667
NE D1 91 322.520339982 -0.336104747222
NE D1 92 322.522381649 -0.336104747222
NE D1 93 322.524423316 -0.336076969444
NE D1 94 322.526339982 -0.336076969444
NE D1 95 322.528339982 -0.336104747222
NE D1 96 322.530423316 -0.336049191667
NE D1 97 322.532381649 -0.336104747222
NE D1 98 322.534339982 -0.336049191667
NE D1 99 322.536381649 -0.336021413889
NE D1 100 322.538381649 -0.336076969444
NE D1 101 322.540298316 -0.335993636111
NE D1 102 322.513423315 -0.337854747222
NE D1 103 322.515381648 -0.337882525
NE D1 104 322.517423315 -0.337826969444
NE D1 105 322.519423315 -0.337771413889
NE D1 106 322.521381648 -0.337771413889
NE D1 107 322.523381648 -0.337826969444
NE D1 108 322.525381648 -0.337826969444
NE D1 109 322.527339982 -0.337771413889
NE D1 110 322.529423315 -0.337826969444
NE D1 111 322.531339982 -0.337771413889
NE D1 112 322.533339982 -0.337743636111
NE D1 113 322.535381648 -0.337799191667
NE D1 114 322.537339982 -0.337826969444
NE D1 115 322.539423315 -0.337799191667
NE D1 116 322.541381648 -0.337826969444
NE D1 117 322.514381648 -0.339521413889
NE D1 118 322.516381648 -0.339549191667
NE D1 119 322.518423315 -0.339549191667
NE D1 120 322.520339981 -0.339576969444
NE D1 121 322.522381648 -0.339521413889
NE D1 122 322.524381648 -0.339438080556
NE D1 123 322.526339981 -0.339465858333
NE D1 124 322.528339981 -0.339521413889
NE D1 125 322.530381648 -0.339493636111
NE D1 126 322.532381648 -0.339465858333
NE D1 127 322.534339981 -0.339493636111
NE D1 128 322.536381648 -0.339465858333
NE D1 129 322.538381648 -0.339465858333
NE D1 130 322.540339981 -0.339493636111
NE D1 131 322.513423314 -0.341243636111
NE D1 132 322.515423314 -0.341243636111
NE D1 133 322.517423314 -0.341188080556
NE D1 134 322.519423314 -0.341271413889
NE D1 135 322.521423314 -0.341271413889
NE D1 136 322.523381647 -0.341215858333
NE D1 137 322.525381647 -0.341271413889
NE D1 138 322.527381647 -0.341243636111
NE D1 139 322.529423314 -0.341243636111
NE D1 140 322.531423314 -0.341215858333
NE D1 141 322.533423314 -0.341188080556
NE D1 142 322.535339981 -0.341215858333
NE D1 143 322.537381647 -0.341215858333
NE D1 144 322.539423314 -0.341188080556
NE D1 145 322.541381647 -0.341188080556
NE D1 146 322.514423314 -0.343049191667
NE D1 147 322.516381647 -0.343021413889
NE D1 148 322.518381647 -0.342993636111
NE D1 149 322.52033998 -0.342993636111
NE D1 150 322.522423314 -0.342965858333
NE D1 151 322.524381647 -0.342938080556
NE D1 152 322.526381647 -0.342993636111
NE D1 153 322.528423314 -0.342910302778
NE D1 154 322.530381647 -0.342938080556
NE D1 155 322.53233998 -0.342993636111
NE D1 156 322.534381647 -0.342965858333
NE D1 157 322.53633998 -0.342910302778
NE D1 158 322.538298314 -0.342938080556
NE D1 159 322.540381647 -0.342965858333
NE D1 160 322.513381646 -0.344688080556
NE D1 161 322.515381646 -0.344715858333
NE D1 162 322.517423313 -0.344715858333
NE D1 163 322.519423313 -0.344715858333
NE D1 164 322.521423313 -0.344715858333
NE D1 165 322.523423313 -0.344715858333
NE D1 166 322.525423313 -0.344715858333
NE D1 167 322.527423313 -0.344660302778
NE D1 168 322.529423313 -0.344660302778
NE D1 169 322.53146498 -0.344632525
NE D1 170 322.53333998 -0.344688080556
NE D1 171 322.535381647 -0.344660302778
NE D1 172 322.537381647 -0.344632525
NE D1 173 322.539423313 -0.344743636111
NE D1 174 322.541423313 -0.344715858333
NE D1 175 322.514381646 -0.346382525
NE D1 176 322.516381646 -0.346382525
NE D1 177 322.518423313 -0.346382525
NE D1 178 322.520381646 -0.346465858333
NE D1 179 322.522381646 -0.346410302778
NE D1 180 322.524423313 -0.346326969444
NE D1 181 322.526423313 -0.346382525
NE D1 182 322.528423313 -0.346354747222
NE D1 183 322.530381646 -0.346410302778
NE D1 184 322.532381646 -0.346354747222
NE D1 185 322.534381646 -0.346410302778
NE D1 186 322.536381646 -0.346354747222
NE D1 187 322.538381646 -0.346326969444
NE D1 188 322.540339979 -0.346354747222
NE D1 189 322.513464979 -0.348215858333
NE D1 190 322.515423312 -0.348188080556
NE D1 191 322.517423312 -0.348132525
NE D1 192 322.519423312 -0.348132525
NE D1 193 322.521423312 -0.348104747222
NE D1 194 322.523381646 -0.348104747222
NE D1 195 322.525423312 -0.348160302778
NE D1 196 322.527423312 -0.348104747222
NE D1 197 322.529381646 -0.348132525
NE D1 198 322.531423312 -0.348132525
NE D1 199 322.533423312 -0.348049191667
NE D1 200 322.535381646 -0.348132525
NE D1 201 322.537423312 -0.348104747222
NE D1 202 322.539339979 -0.348104747222
NE D1 203 322.541381646 -0.348021413889
NE D1 204 322.514381645 -0.349882525
NE D1 205 322.516381645 -0.349910302778
