# tile dither fiber fiber_ra fiber_dec
NE D1 1 354.413339992 0.297950808333
NE D1 2 354.415298325 0.297895252778
NE D1 3 354.417339992 0.297978586111
NE D1 4 354.419339992 0.297978586111
NE D1 5 354.421256658 0.297978586111
NE D1 6 354.423339992 0.297923030556
NE D1 7 354.425381658 0.298006363889
NE D1 8 354.427298325 0.297895252778
NE D1 9 354.429298325 0.298006363889
NE D1 10 354.431339992 0.297978586111
NE D1 11 354.433298325 0.298034141667
NE D1 12 354.435298325 0.298034141667
NE D1 13 354.437256658 0.298006363889
NE D1 14 354.439256658 0.297978586111
NE D1 15 354.412381659 0.296145252778
NE D1 16 354.414298325 0.296200808333
NE D1 17 354.416298325 0.296228586111
NE D1 18 354.418298325 0.296284141667
NE D1 19 354.420298325 0.296200808333
NE D1 20 354.422339992 0.296200808333
NE D1 21 354.424339992 0.296173030556
NE D1 22 354.426298325 0.296173030556
NE D1 23 354.428298325 0.296256363889
NE D1 24 354.430214992 0.296256363889
NE D1 25 354.432298325 0.296200808333
NE D1 26 354.434298325 0.296256363889
NE D1 27 354.436298325 0.296256363889
NE D1 28 354.438339992 0.296228586111
NE D1 29 354.440256659 0.296228586111
NE D1 30 354.413339992 0.294478586111
NE D1 31 354.415298326 0.294506363889
NE D1 32 354.417298326 0.294423030556
NE D1 33 354.419298326 0.294506363889
NE D1 34 354.421298326 0.294450808333
NE D1 35 354.423339992 0.294450808333
NE D1 36 354.425298326 0.294561919444
NE D1 37 354.427339992 0.294534141667
NE D1 38 354.429298326 0.294450808333
NE D1 39 354.431339992 0.294561919444
NE D1 40 354.433339992 0.294506363889
NE D1 41 354.435256659 0.294478586111
NE D1 42 354.437339992 0.294506363889
NE D1 43 354.439298326 0.294561919444
NE D1 44 354.412298326 0.292728586111
NE D1 45 354.414339993 0.292756363889
NE D1 46 354.416298326 0.292728586111
NE D1 47 354.418339993 0.292756363889
NE D1 48 354.420339993 0.292784141667
NE D1 49 354.422298326 0.292784141667
NE D1 50 354.424339993 0.292728586111
NE D1 51 354.426339993 0.292784141667
NE D1 52 354.428339993 0.292756363889
NE D1 53 354.43038166 0.292756363889
NE D1 54 354.432339993 0.292784141667
NE D1 55 354.434298326 0.292784141667
NE D1 56 354.436298326 0.292756363889
NE D1 57 354.438298326 0.292811919444
NE D1 58 354.440339993 0.292756363889
NE D1 59 354.413339993 0.291061919444
NE D1 60 354.415339993 0.291061919444
NE D1 61 354.41738166 0.291089697222
NE D1 62 354.419339993 0.291034141667
NE D1 63 354.42125666 0.291089697222
NE D1 64 354.423339993 0.291034141667
NE D1 65 354.425298327 0.291061919444
NE D1 66 354.427339993 0.291089697222
NE D1 67 354.429298327 0.291117475
NE D1 68 354.431298327 0.291089697222
NE D1 69 354.43338166 0.291117475
NE D1 70 354.435339993 0.291089697222
NE D1 71 354.437339993 0.291089697222
NE D1 72 354.43938166 0.291089697222
NE D1 73 354.412339994 0.289339697222
NE D1 74 354.414298327 0.289311919444
NE D1 75 354.416298327 0.289311919444
NE D1 76 354.418339994 0.289311919444
NE D1 77 354.42038166 0.289339697222
NE D1 78 354.422339994 0.289311919444
NE D1 79 354.424339994 0.289367475
NE D1 80 354.426298327 0.289367475
NE D1 81 354.428339994 0.289367475
NE D1 82 354.43038166 0.289339697222
NE D1 83 354.432339994 0.289367475
NE D1 84 354.434339994 0.289284141667
NE D1 85 354.436298327 0.289339697222
NE D1 86 354.438298327 0.289367475
NE D1 87 354.440298327 0.289395252778
NE D1 88 354.413339994 0.287561919444
NE D1 89 354.415339994 0.287561919444
NE D1 90 354.417339994 0.287645252778
