objID,distance,ra,dec,u,g,r,i,z
587731173845173524,0.62927968,318.9904914,0.25876857,22.478334,21.947821,21.192316,21.051388,20.560528
587731173845172855,0.7436323,319.00974181,0.2469314,22.996313,20.109007,18.74638,18.127161,17.565727
587731173845172856,0.87520264,319.0116714,0.2458288,22.458597,21.964188,21.204485,20.736645,20.239521
587731173845173510,1.00372036,318.9855985,0.26298669,22.377934,21.19149,20.683271,20.391077,20.384119
587731173845173603,1.01291798,319.01537131,0.24740928,22.617153,21.758545,20.844002,20.285282,19.9039
587731173845173576,1.48006159,319.00860176,0.23167422,23.324585,21.862883,20.549587,20.021442,19.495724
587731173845173640,1.52536673,319.02520523,0.2596368,26.561592,21.792322,21.383982,21.772774,21.513847
587731173845172818,1.62079075,318.98513067,0.27727734,22.225904,21.462351,19.914108,19.327496,18.817354
587731173845173470,1.65501155,318.97518876,0.2664421,23.074965,21.513002,20.595722,20.446911,20.728458
587731173845173114,1.76984461,318.97315139,0.24318266,21.671789,20.053425,19.545937,19.219833,18.917315
587731173845172528,1.87636343,319.02235358,0.23277428,21.842861,21.673759,21.06529,20.854168,20.34325
587731173845173124,1.93567187,319.01979899,0.22922911,21.209438,20.100573,19.485306,19.052847,18.659296
587731173845172527,1.95165354,319.02271194,0.2313696,19.126911,18.453789,18.152834,17.823561,17.782198
587731173845173432,2.01096429,318.96686565,0.25170811,22.162163,21.965006,20.67153,20.349522,19.799068
587731173845173458,2.03501407,318.97338215,0.23415497,23.826822,21.384668,20.482029,20.105654,20.05525
587731173845173631,2.07307427,319.02232649,0.28144213,22.790915,21.455549,20.928522,20.692719,20.596027
587731173845173480,2.12407311,318.97742814,0.28195785,24.901194,21.688772,21.21792,20.856541,20.688702
587731173845173064,2.15231444,318.9705009,0.2749515,22.606895,21.074282,19.884172,19.317772,18.989361
587731173845173025,2.17068364,319.02465828,0.28156605,24.555902,21.212051,19.848803,19.275732,18.848141
587731173845172820,2.32105275,318.98741979,0.21837788,21.8405,19.576204,18.478115,17.932829,17.527088
587731173845239161,2.39510153,319.0392447,0.24642626,18.202108,18.628164,18.273464,17.241343,16.411295
587731173845239162,2.397252,319.0392409,0.24624015,19.709076,20.707367,19.649567,19.220783,18.842089
587731173845172821,2.4569559,318.98780047,0.21586171,21.113077,19.940102,19.418575,19.08989,18.994705
