objID,distance,ra,dec,u,g,r,i,z
587731185650041071,5.50445552E-4,321.15313949,-0.52216614,20.175625,18.152899,16.661781,16.119377,15.752301
587731185650041074,0.18256996,321.15614425,-0.52172989,23.936302,21.825428,20.408188,19.918947,19.45689
587731185650041577,0.25585232,321.15606903,-0.52525214,22.324863,20.865944,19.373302,18.811911,18.490236
587731185650041073,0.29964108,321.15533686,-0.51767937,23.245169,21.300863,19.808792,19.235188,18.960649
587731185650041564,0.32006516,321.15303994,-0.51682677,23.412493,20.946789,19.439829,18.959909,18.565311
587731185650041072,0.32655751,321.15747412,-0.51887874,21.224213,18.84218,17.339193,16.800774,16.420074
587731185650041967,0.70223646,321.14719526,-0.53224728,23.207125,21.249378,20.482903,20.21533,20.022371
587731185650041304,0.8782839,321.14568625,-0.5347637,20.834698,19.079462,17.617476,17.06946,16.667355
587731185650042035,0.92907277,321.16377931,-0.53340422,22.002213,21.084757,20.230555,19.943285,19.63801
587731185650041548,0.99312068,321.13767331,-0.51624372,22.34256,21.096628,19.791882,19.239914,18.862783
587731185650041585,1.08547729,321.16479613,-0.53599035,23.371742,20.721724,19.367729,18.861303,18.477642
587731185650041547,1.11316936,321.13575001,-0.51567238,22.268642,21.392183,19.8815,19.293783,19.083839
587731185650041572,1.17114842,321.15575691,-0.50281899,25.653862,20.913191,19.428659,18.910799,18.531267
587731185650041282,1.21660524,321.13720084,-0.50961625,20.874817,19.633043,18.564226,18.10113,17.712849
587731185650041958,1.2249986,321.14512309,-0.54094087,22.67156,20.931282,19.690922,19.232758,18.778105
587731185650041946,1.22894245,321.1387473,-0.53674187,22.212894,21.392263,19.998158,19.417341,19.168131
587731185650041312,1.27462618,321.15022658,-0.50111646,19.660757,18.73889,18.10022,17.811712,17.602322
587731185650041313,1.32586457,321.14894423,-0.50046314,21.147806,19.863941,18.404226,17.840071,17.526093
587731185650041573,1.32644948,321.15457063,-0.50009975,24.409939,20.791605,19.765537,19.259333,19.032032
587731185650041907,1.35826875,321.1326925,-0.53189295,26.062498,21.611525,20.189219,19.618731,19.260162
587731185650041583,1.40332986,321.16285856,-0.50088981,24.19429,21.32085,19.714298,19.181967,18.772873
587731185650041942,1.54388054,321.13886182,-0.54357286,23.806961,21.386681,19.998541,19.494738,19.10462
587731185650041746,1.59044161,321.16536116,-0.54567918,21.224314,20.471466,20.191261,20.053658,19.918106
587731185650041596,1.60468857,321.17163507,-0.50284853,22.75761,21.249498,19.868435,19.331812,18.963793
587731185650041893,1.62030603,321.12727237,-0.51437612,22.347633,21.230803,19.950687,19.388624,19.090044
587731185650042001,1.62982701,321.15303231,-0.49499723,22.384659,21.804598,21.125719,20.873631,20.802259
587731185650041610,1.64352334,321.17845654,-0.5117178,22.667709,20.559109,19.151299,18.602571,18.267887
587731185650042101,1.68357031,321.18110198,-0.5199048,21.967722,21.034815,19.834032,19.33536,18.819916
587731185650041937,1.7012428,321.13826402,-0.5463038,22.512613,21.880585,20.716805,20.139484,19.79673
587731185650041302,1.70873217,321.14320433,-0.54885347,21.535799,18.866196,17.611927,17.048302,16.695902
587731185650042037,1.70886103,321.164742,-0.54816792,22.340595,21.061314,20.322994,20.293829,20.004818
587731185650041611,1.76172673,321.17937804,-0.50899462,22.346592,20.423334,19.210985,18.759909,18.475441
587731185650041578,1.76854101,321.15690909,-0.55139314,22.966379,21.856384,20.413002,19.877897,19.478767
587731185650042084,1.86860921,321.17650125,-0.50157289,22.159746,21.70587,20.962339,20.687931,20.552759
587731185650041878,1.87857571,321.12466191,-0.53519133,22.633972,21.325689,20.779278,20.654882,20.843184
587731185650042027,1.88361991,321.16134818,-0.49186112,22.629118,21.849209,20.556026,20.19142,19.953268
587731185650042068,1.89085402,321.17227966,-0.49712991,24.69068,21.798246,20.508072,19.925674,19.566372
587731185650042108,1.95222911,321.18423546,-0.53171762,23.64452,21.535065,20.858486,19.852745,20.181969
587731185650042485,1.96477649,321.18569199,-0.51865874,27.659225,21.392462,19.984432,19.477776,20.129927
587731185650042110,1.98966162,321.18554335,-0.51514123,23.761374,21.673874,20.304214,19.826345,19.369789
587731185650041617,2.02292605,321.1836286,-0.5365402,22.290926,20.931208,19.796782,19.268806,19.086042
587731185650041911,2.13711109,321.1326377,-0.49302814,22.585989,21.435228,19.660172,18.851355,18.431957
587731185650041384,2.1769465,321.18926544,-0.51885839,20.68228,18.600454,17.131096,16.594217,16.162725
587731185650041523,2.22520715,321.11608215,-0.52384744,21.977697,20.263752,19.322454,18.944902,18.575966
587731185650042089,2.26649055,321.17904422,-0.5496482,22.812288,21.099621,20.136929,19.735371,19.386992
587731185650041622,2.27550098,321.18668742,-0.50448459,24.402767,21.062386,19.715265,19.201839,18.846363
587731185650041855,2.27749776,321.11521114,-0.52044842,22.805756,21.904612,21.230688,21.328478,20.715733
587731185650042131,2.40378494,321.18964212,-0.50566313,23.743834,21.548769,20.189224,19.623875,19.180101
587731185650041387,2.40982824,321.18978611,-0.53858434,20.283318,19.246449,18.875166,18.637913,18.435081
587731185650041536,2.42709064,321.13089466,-0.55595191,21.620092,20.604782,19.243893,18.744776,18.465208
587731185650041538,2.46131101,321.12873938,-0.55514268,22.442703,21.691965,20.784399,20.403004,19.984562
