objID,distance,ra,dec,u,g,r,i,z
587734304875610492,5.38144637E-4,328.33894725,0.19186223,22.251806,20.560453,19.116808,18.55838,18.087574
587734304875610748,0.19817682,328.33586188,0.19304171,23.821453,21.984875,20.710897,20.573761,19.713005
587734304875610354,0.39212792,328.3381717,0.19835973,25.278187,21.764156,20.305996,19.963493,19.425001
587734304875610757,0.5138647,328.34050075,0.18344759,24.418648,21.703943,20.3699,19.847252,19.416594
587734304875610732,0.5296479,328.3314515,0.18721282,24.016455,21.246347,19.835625,19.309,18.957008
587734304875610733,0.55613398,328.33212448,0.18559988,24.596615,21.713387,20.307226,19.723167,19.369812
587734304875610194,0.80498838,328.35071266,0.19832467,27.805925,21.922277,21.946934,20.246683,24.804049
587734304875610780,0.84725301,328.34831509,0.20243937,23.121624,21.364775,20.121231,19.497684,19.212706
587734304875610191,0.88664539,328.35227346,0.19826313,21.608536,21.490253,20.999601,20.538784,21.689634
587734304875610804,0.95508676,328.35223903,0.18310717,26.656769,21.308233,19.976851,19.409779,18.932035
587734304875610607,0.9810525,328.35321203,0.19986756,22.441236,21.587481,20.860672,20.61363,20.165873
587734304875610368,1.00655752,328.3553303,0.18824683,26.108837,21.999252,20.774117,20.262802,19.911943
587734304875610483,1.04704147,328.32243496,0.18623391,22.054672,20.503771,19.130772,18.559282,18.197807
587734304875610366,1.09648216,328.35678282,0.18787442,22.705971,20.416912,18.963617,18.425079,17.989302
587734304875610749,1.14940603,328.33722442,0.17279183,21.3561,20.890514,19.864309,19.439486,19.027407
587731186726929280,1.17182853,328.34258267,0.21106047,24.139698,21.89579,20.970228,20.418592,20.195074
587734304875610186,1.1779451,328.35857851,0.1914648,22.918337,21.155581,19.793808,19.240759,18.774183
587734304875610183,1.22829708,328.35925216,0.1945042,20.597483,18.227455,16.710634,16.141535,15.768666
587734304875610482,1.23959697,328.31990149,0.19986906,22.286575,20.55934,19.203045,18.59771,18.144039
587734304875610707,1.25766322,328.31855718,0.18702371,21.854885,21.434177,20.827938,20.798006,21.786072
587734304875610188,1.34290257,328.36001447,0.1994361,23.229143,21.873425,20.705847,20.110973,19.968494
587731186726929239,1.36869507,328.33002332,0.21286289,24.921875,21.452271,20.201805,19.840492,19.478197
587734304875610513,1.42399326,328.3616901,0.18507561,22.705093,20.933092,19.538658,18.999987,18.609898
587734304875610580,1.44335454,328.36255391,0.18722642,22.868757,20.978456,19.548782,18.943712,18.655926
587734304875610577,1.48918752,328.36090259,0.20345186,25.734022,21.514879,19.971285,19.374668,19.048349
587734304875610699,1.50824679,328.31393884,0.19438513,22.698111,21.329855,19.959461,19.389851,18.921837
587734304875610184,1.51156452,328.36332264,0.19824694,25.127914,21.32597,19.85018,19.289173,18.866009
587734304875610703,1.67120236,328.31648368,0.17540594,22.211075,20.880913,20.383078,20.165115,19.481564
587734304875610836,1.72463222,328.36764723,0.19351262,23.176657,21.548368,20.05162,19.541712,19.07494
587734304875610837,1.77614219,328.36755974,0.19947346,22.686642,21.700279,20.349182,19.795677,19.366013
587731186726929245,1.86023932,328.33243116,0.22218173,23.402258,21.694693,20.519466,19.829714,19.334412
587734304875610697,1.89041598,328.31177105,0.17593367,24.352442,21.727188,20.799818,20.424049,19.663195
587731186726928961,1.94416816,328.34964984,0.2224559,23.473608,21.349911,19.840862,19.322021,18.90451
587734304875610770,1.95881398,328.34485744,0.15976251,22.267944,20.773153,20.347794,20.107492,20.274651
587734304875610858,1.97742657,328.3712854,0.19824447,24.795691,21.241154,19.902334,19.360781,19.026762
587731186726928971,2.14600123,328.36390733,0.21749101,22.157757,20.618376,19.222992,18.71097,18.30896
587734304875610403,2.28833162,328.3753868,0.20313847,21.446115,20.429029,19.287685,18.817053,18.319366
587731186726929341,2.3064786,328.36099418,0.22336333,22.215265,21.263609,19.660221,19.042852,18.74387
587734304875610861,2.31760698,328.37424733,0.17618155,22.203705,21.953215,20.677197,20.119715,19.695444
587734304875610357,2.34715087,328.34280812,0.15294213,24.542101,20.96541,19.483759,18.930387,18.533396
587731186726929273,2.45812155,328.33943969,0.23283664,23.959423,21.562519,20.233583,19.709518,19.491215
