,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,14.0,203.86241301599998,41.0267501389,1.2376623067224476e+18,203.86251808580897,41.0267223674947,24.30209,0.7771494999999999,21.8421,0.06222472,20.46995,0.02916525,19.91439,0.02789407,19.69565,0.1004603,0.24274099999999998,0.035799,,,,,
1,NE,D1,111.0,203.85053847400002,41.0146945833,1.2376623067224486e+18,203.850738999096,41.0150458671643,22.530829999999998,0.27301529999999996,21.15081,0.03865311,20.096989999999998,0.02368428,19.59985,0.02370049,19.33884,0.0830062,0.20919000000000001,0.024916,,,,,
2,NE,D1,154.0,203.84928867099998,41.0095279167,1.237662306722448e+18,203.849391399459,41.0092206567545,23.19738,0.5872991999999999,20.54949,0.02950015,19.28464,0.01586207,18.86443,0.01656304,18.40397,0.04692092,0.183703,0.013588,,,,,
3,NE,D1,242.0,203.85195573099998,40.9991668056,1.2376623067224486e+18,203.852381397883,40.9993557797082,23.04866,0.4032329,21.79652,0.06425571,20.16403,0.02472616,19.56542,0.02287324,19.29809,0.07808867,0.35328899999999996,0.025769,,,,,
4,NE,D2,6.0,203.839996373,41.0261390278,1.2376623067224476e+18,203.840739962648,41.0261547815773,23.11905,0.5165455,21.54791,0.06134805,20.37656,0.03345444,20.04733,0.0387423,20.01882,0.1740776,0.22756300000000002,0.071251,,,,,
5,NE,D2,14.0,203.86107970400002,41.0261945833,1.237662306722448e+18,203.86097002405202,41.025852653964705,22.94383,0.3621446,21.33969,0.04155665,20.94947,0.04250396,20.792370000000002,0.05731483,21.32602,0.4113278,0.044197,0.042328,,,,,
6,NE,D2,63.0,203.83724663200002,41.0193056944,1.237662306722448e+18,203.83749173722998,41.019027761187296,21.19069,0.1941375,19.13342,0.01606839,17.89726,0.009110067,17.46273,0.009395971,17.16974,0.02932981,0.19939400000000002,0.015744,,,,,
7,NE,D3,22.0,203.845246459,41.02386125,1.237662306722448e+18,203.845332755196,41.0235019062943,23.85611,0.7696961999999999,20.995160000000002,0.03828963,19.75828,0.0197382,19.172929999999997,0.01866959,18.94497,0.06531595,0.218227,0.040056,,,,,
8,NE,D3,25.0,203.853163126,41.02386125,1.237662306722448e+18,203.852790575995,41.0239487162925,22.4583,0.28705990000000003,20.85887,0.034299500000000004,19.543429999999997,0.01747972,19.11609,0.01816081,18.71994,0.05456066,0.23299099999999998,0.033613,,,,,
9,NE,D3,73.0,203.82674672,41.0170001389,1.2376623067224486e+18,203.826864239874,41.016833602587496,21.35369,0.1934406,20.01688,0.03012479,19.62733,0.03227403,19.332060000000002,0.03924408,19.18431,0.1473496,0.062698,0.015323,,,,,
10,NE,D3,106.0,203.83737185,41.0135834722,1.2376623067224476e+18,203.837323678464,41.01394350914279,23.55438,0.7360366,20.20648,0.03009711,18.82695,0.01340182,18.32364,0.03270292,17.99351,0.03327828,0.22175300000000003,0.017103999999999998,,,,,
11,NE,D3,147.0,203.83070538299998,41.0083334722,1.2376623067224476e+18,203.83058890326998,41.0088414911176,23.72295,0.8943161000000001,20.78741,0.03733851,19.48155,0.01913801,18.99945,0.01934857,18.74661,0.0660172,0.201506,0.017988,,,,,
12,NE,D3,185.0,203.85458051,41.0049723611,1.2376623067224486e+18,203.85412516345502,41.005018892909796,22.76795,0.3436307,21.28513,0.04397428,20.50911,0.0333231,20.1051,0.03626836,19.80493,0.1254223,0.070076,0.024592,,,,,
13,NE,D3,206.0,203.83337231,41.0014723611,1.2376623067224476e+18,203.833732493514,41.001144840024,20.04226,0.10798110000000001,17.93587,0.00915489,16.39163,0.004500995,15.86946,0.004327438,15.52125,0.01125991,0.262651,0.012891999999999999,5.300949062856999e+18,203.83372,41.001146000000006,0.2283087,3.139327e-05
14,NE,D3,210.0,203.84387231099998,41.0014445833,1.2376623067224476e+18,203.843869106785,41.0013897942984,24.05069,0.9940875,21.07509,0.04448472,19.58604,0.0195372,19.08265,0.01940741,18.78417,0.06387792,0.265788,0.022401,,,,,
15,NW,D1,67.0,203.81357994299998,41.0199168056,1.2376623067224486e+18,203.81388657858997,41.019410523572,29.05139,0.983466,19.900879999999997,0.32768909999999996,18.90628,0.208348,20.690910000000002,1.7766119999999999,17.04205,0.30513640000000003,0.041347,0.040155,,,,,
16,NW,D1,127.0,203.81887187200002,41.0130001389,1.237662306722448e+18,203.81827041195302,41.0131479015817,21.36386,0.2907842,18.86281,0.01577607,17.43057,0.007754348,16.9326,0.007658666,16.57532,0.02227705,0.23105,0.011054000000000001,1.6484516558945915e+18,203.81826,41.013161,0.2380925,5.570007e-05
17,NW,D1,158.0,203.82412200299999,41.0095556944,1.237662306722448e+18,203.82351780342097,41.009282871406,22.9692,0.3701824,21.37566,0.04450426,19.96389,0.02083866,19.452070000000003,0.02035552,19.192439999999998,0.06818418,0.283029,0.042980000000000004,,,,,
