,tile,dither,fiber,ra,dec,redshift,seperation,LOSV
0,NE,D1,124.0,234.24778507737003,24.421600367457103,0.23282,0.23641128563180053,1537.2859987499778
2,NE,D2,153.0,234.246560360257,24.4179323051055,0.233,0.19213305458079613,1581.1664610070623
5,NE,D3,191.0,234.23617320376098,24.412056951140105,0.23136,0.048648801501406304,1181.3666937758762
6,NE,D3,198.0,234.25139474066899,24.4123912325091,0.22669,0.20817550017775327,42.91247855048682
7,NE,D3,219.0,234.234388446055,24.4087774775243,0.22619,1.971575234547289e-05,-78.9776943858503
8,NW,D1,116.0,234.23231723690498,24.423718696160197,0.228,0.1980250198049718,362.2647316436911
9,NW,D1,148.0,234.207574680374,24.4180450571886,0.22277,0.33742942833546286,-912.7064772703969
10,NW,D2,26.0,234.225444380224,24.433084931652694,0.23011,0.33944950042367317,876.6412614350336
12,NW,D3,210.0,234.216767858108,24.410026915859103,0.22898,0.21233696876128152,601.169470598907
13,SE,D1,48.0,234.24005377124,24.403384964394803,0.22168,0.09605247053305631,-1178.4270542716135
14,SE,D1,64.0,234.24419092318297,24.4013354086457,0.22532,0.15144925598454692,-291.066595295079
15,SE,D2,80.0,234.246076010566,24.3993432947632,0.22827,0.18718009359576965,428.0854250293113
16,SE,D2,166.0,234.243713071114,24.3894751110603,0.226,0.2754480498741417,-125.29596010165733
17,SE,D2,166.0,234.243713071114,24.3894751110603,0.226,0.2754480498741417,-125.29596010165733
18,SE,D3,108.0,234.24461837847198,24.395965561982496,0.2237,0.205307392907241,-685.9907556088067
20,SW,D2,185.0,234.22357308508703,24.387594079236607,0.22437,0.303487185402868,-522.6579238741142
21,SW,D3,65.0,234.21665175699002,24.400729730886997,0.22029,0.23118559567610056,-1517.2817350346243
22,SW,D3,181.0,234.21643634740397,24.387128763997804,0.22788,0.3566023614314548,333.0110901389681
23,SW,D3,191.0,234.20693992698503,24.3848655016189,0.2247,0.44989568749960646,-442.2104097361324
