tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,21,260.624518973,32.15761125,1237665569301923372,260.624244954394,32.1581145515517
NE,D1,29,260.643352305,32.1576668056,1237665569301988652,260.643390193632,32.1571461884648
NE,D1,126,260.632810932,32.1456668056,1237665569301988157,260.632873430027,32.1451376186137
NE,D2,32,260.61501903,32.1553056944,1237665569301923388,260.615129922427,32.1550472878152
NE,D2,62,260.617435779,32.1519168056,1237665569301923409,260.617404909419,32.1516502294881
NE,D2,179,260.619811116,32.1381668056,1237665569301987831,260.620398765497,32.1379952928019
NE,D3,42,260.639852375,32.1548334722,1237665569301988659,260.63961067072,32.1551411937634
NE,D3,73,260.610352501,32.1496668056,1237665569301922370,260.610174385043,32.1496391532244
NE,D3,84,260.636352502,32.14961125,1237665569301988690,260.636813348515,32.1495969293698
NE,D3,98,260.635102542,32.1479723611,1237665569301988691,260.63559492874,32.1478177390558
NE,D3,102,260.610394253,32.1461668056,1237665569301987796,260.609909681376,32.1459196935583
NE,D3,128,260.637519293,32.1445556944,1237665569301988456,260.637383277934,32.1440969693911
NE,D3,145,260.643394335,32.1428334722,1237665569301988734,260.6435438152,32.142801920149
NE,D3,167,260.626936086,32.13936125,1237665569301988715,260.626449376185,32.1390024632151
NE,D3,171,260.636352753,32.13936125,1237665569301987866,260.636105173488,32.139724705943
NE,D3,219,260.61276959,32.1323890278,1237665569301987827,260.613270545525,32.1325695632603
NW,D1,102,260.575352622,32.1447223611,1237665569301922598,260.575667748731,32.1451391048297
NW,D1,200,260.60126954,32.1344445833,1237665569301987836,260.601469868384,32.1346511872665
NW,D1,205,260.57881125,32.1326668056,1237665569301988649,260.578971623527,32.1327296313045
NW,D2,68,260.596519174,32.1494168056,1237665569301923382,260.596750049567,32.1493458387958
NW,D2,116,260.607144302,32.1441945833,1237665569301988123,260.606560037118,32.1443191229441
NW,D2,129,260.603602676,32.1425279167,1237665569301988124,260.603945228406,32.1429559060022
NW,D2,148,260.579977761,32.1390279167,1237665569301922619,260.579989728127,32.139111397843
NW,D2,161,260.576477804,32.1372779167,1237665569301923419,260.576204417595,32.1367602219272
NW,D2,163,260.581227803,32.1373056944,1237665569301922620,260.58149646483,32.1375753806132
NW,D2,184,260.59651951,32.1356668056,1237665569301988137,260.596077140135,32.1359363960161
NW,D3,26,260.601227394,32.1540279167,1237665569301922606,260.601210350956,32.1535148996704
NW,D3,50,260.589477481,32.1505001389,1237665569301922595,260.589479791626,32.1507914496284
NW,D3,125,260.595394356,32.1419723611,1237665569301923430,260.595108035141,32.1414916711314
NW,D3,139,260.594227732,32.1402223611,1237665569301988634,260.594169540548,32.1404015036039
NW,D3,175,260.576477858,32.1350834722,1237665569301923421,260.576374000312,32.1352615364714
NW,D3,184,260.597727857,32.13511125,1237665569301988138,260.597726814984,32.135140131837
NW,D3,206,260.581227943,32.1315834722,1237665569301988665,260.581251589035,32.1311283800321
NW,D3,231,260.606019651,32.1298890278,1237665569301989289,260.606033771036,32.1300947485061
SE,D1,13,260.639769589,32.1324445833,1237665569301988762,260.64001460261,32.1324911545876
SE,D1,202,260.641020137,32.1100001389,1237665569301988229,260.641220906594,32.1098189878523
SE,D2,66,260.626853106,32.1249445833,1237665569301988782,260.626886219914,32.1255103329037
SE,D2,91,260.617394858,32.1214445833,1237665569301988787,260.617615243587,32.1217020205003
SE,D2,155,260.631561693,32.1145556944,1237665569301987920,260.631283981416,32.1149426961745
SE,D2,189,260.609270154,32.1093334722,1237665569301988215,260.609424291549,32.109217161945
SE,D2,226,260.628061902,32.1059723611,1237665569301988860,260.628296945241,32.1061883222113
SE,D3,45,260.612728078,32.1260556944,1237665569301987830,260.61299150578,32.1265327498199
SE,D3,171,260.636353413,32.11236125,1237665569301988847,260.63658207444,32.1121382488658
SE,D3,184,260.632770122,32.1106390278,1237665569301987918,260.632603545821,32.11095786733
SE,D3,185,260.635145123,32.11061125,1237665569301988848,260.635300445467,32.1110932160354
SW,D1,140,260.5998533,32.1170001389,1237665569301988199,260.599239471981,32.1168077342519
SW,D1,160,260.578561718,32.1135279167,1237665569301988189,260.579094951864,32.1138064841297
SW,D1,183,260.598645093,32.1118056944,1237665569301988200,260.598517624426,32.1117115099697
SW,D1,203,260.611645133,32.1101945833,1237665569301988214,260.61216475873,32.1102068898858
SW,D1,214,260.603270177,32.1083890278,1237665569301988823,260.6032083422,32.1083900057253
SW,D2,121,260.588019939,32.1181390278,1237665569301988747,260.587591477376,32.1181249150072
SW,D3,5,260.589102948,32.1313890278,1237665569301988687,260.589347092091,32.1315781549609
SW,D3,23,260.597394657,32.1296668056,1237665569301988162,260.597914791261,32.129776717267
SW,D3,53,260.599853076,32.1261668056,1237665569301988459,260.599561145178,32.1257857575298
SW,D3,58,260.611644742,32.1261668056,1237665569301987828,260.611721969735,32.1262654014992
SW,D3,89,260.582103203,32.1209723611,1237665569301988168,260.581987926383,32.1211009855921
SW,D3,144,260.60931166,32.1158890278,1237665569301987891,260.609720760543,32.1155366591349
SW,D3,146,260.579811706,32.1140279167,1237665569301988188,260.580226504069,32.1137301735384
SW,D3,162,260.583353412,32.1123890278,1237665569301988190,260.582750417561,32.1122494835867
SW,D3,221,260.585645247,32.1055001389,1237665569301988803,260.585444631475,32.1058375139577
SW,D3,236,260.58689529,32.1037501389,1237665569301988477,260.587129474383,32.1037580698275
