objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z
587739380994343272,234.23438739,24.40877698,21.062662,0.231907,18.861921,0.013886,17.352278,6.728685E-3,16.803646,6.014094E-3,16.424057,0.013604
587739380994343273,234.2361728,24.41205643,22.563059,0.449661,20.907093,0.039041,19.523121,0.019547,18.927443,0.016212,18.57234,0.041302
587739380994343447,234.24005343,24.40338505,23.327211,0.694608,20.949392,0.034264,19.52268,0.017445,18.978685,0.015272,18.654852,0.037358
587739380994343595,234.2410336,24.41151941,21.705702,0.202802,21.049957,0.041058,20.495516,0.039109,20.367155,0.047018,20.641413,0.223824
587739380994343303,234.24419747,24.40133083,22.354082,0.306263,21.271683,0.043649,19.850876,0.021335,19.322781,0.01848,18.944525,0.046255
587739380994343449,234.24546187,24.41029764,21.815256,0.23819,21.007833,0.042065,19.563604,0.020089,19.048632,0.017753,18.750158,0.047632
587739380994343453,234.24597656,24.41347072,21.494658,0.335551,20.70871,0.057562,20.000219,0.049482,19.794256,0.062297,19.6835,0.205387
587739380994343293,234.25139403,24.41239076,21.086027,0.330044,18.795511,0.016765,17.271982,7.711826E-3,16.743481,6.938458E-3,16.365074,0.016688
587739380994343300,234.24461812,24.39596428,21.836506,0.426701,19.183455,0.016369,17.694302,7.917756E-3,17.139431,7.013017E-3,16.785534,0.016448
587739380994343301,234.24607546,24.39934199,23.315754,0.731586,20.650457,0.028967,19.190493,0.014125,18.658945,0.012436,18.34807,0.031055
587739380994343302,234.24747264,24.3977357,22.134472,0.349556,20.724096,0.03682,19.227734,0.016983,18.689602,0.01488,18.302485,0.036527
587739380994343425,234.21676687,24.41002604,22.472193,0.357389,21.155024,0.041457,19.791927,0.021655,19.325785,0.020029,18.921116,0.047525
587739380994343431,234.23231653,24.42371737,21.984472,0.309993,20.345964,0.028033,18.889355,0.014757,18.350277,0.012345,17.932394,0.027706
587739380994343441,234.2261276,24.39371514,22.498747,0.296912,21.579285,0.048885,20.175449,0.024509,19.605148,0.021072,19.25255,0.050984
587739380994343452,234.24791033,24.41410568,23.121737,0.73728,20.889,0.039032,19.461618,0.018926,18.931038,0.016566,18.627367,0.043998
587739380994343547,234.24778489,24.42160007,24.092636,1.61833,21.182865,0.056143,19.838005,0.028474,19.37579,0.026469,18.979458,0.06761
587739380994343548,234.24655932,24.41793275,24.364685,1.108677,21.545504,0.051508,20.39109,0.030572,19.94323,0.028039,19.754566,0.085145
587739380994343889,234.21869873,24.402321,22.873737,0.578896,21.688997,0.072963,20.215639,0.032898,19.756762,0.030293,19.508793,0.088735
587739380994342998,234.20947965,24.40118968,21.597687,0.22981,20.604797,0.034892,19.589212,0.023208,19.293461,0.024336,18.967966,0.065833
587739380994343004,234.20848855,24.40056893,21.436327,0.908818,21.846012,0.448491,21.903502,0.780003,19.121,0.090578,20.06716,0.820392
587739380994343064,234.2614974,24.40962186,21.774429,0.220164,20.654427,0.030686,19.840797,0.02382,19.517786,0.024596,19.100946,0.062057
587739380994343256,234.23955854,24.42823909,22.465866,0.301968,20.585428,0.024341,19.482985,0.015406,19.04344,0.014273,18.808403,0.037605
587739380994343257,234.24246546,24.42669963,23.03677,0.718151,21.531254,0.069554,19.937321,0.02833,19.298355,0.02265,18.874849,0.05682
587739380994343429,234.21665114,24.4007301,23.550825,0.802108,21.431475,0.049432,20.186913,0.028419,19.595337,0.024222,19.369251,0.064884
587739380994343443,234.22357182,24.38759368,25.900751,0.896507,20.909075,0.040571,19.601522,0.022207,19.145359,0.020269,18.884375,0.05532
587739380994343466,234.24371252,24.38947497,22.55467,0.424678,20.730423,0.032172,19.435328,0.018504,18.897936,0.015676,18.49159,0.036843
587739380994343470,234.25316838,24.3993643,23.909414,1.1166,21.374397,0.051894,20.029663,0.027254,19.560349,0.024624,19.215326,0.063617
587739380994343472,234.26177649,24.41322961,23.436785,0.688097,21.338827,0.043341,20.001078,0.023177,19.549883,0.021594,19.284407,0.057181
587739380994343858,234.22544363,24.43308234,21.919449,0.217777,21.302404,0.045549,20.791117,0.045865,20.497826,0.048495,20.188272,0.136742
587739380994342999,234.20896368,24.39390911,21.900026,0.507582,21.095942,0.057848,19.925356,0.033659,19.129068,0.028571,18.994293,0.075898
587739380994343010,234.20650148,24.39391538,20.238712,0.568761,21.832727,0.818684,20.888275,0.573369,19.298206,0.193208,24.222603,5.296647
587739380994343062,234.27092618,24.4158945,23.983191,1.180913,21.483116,0.058159,19.926964,0.025284,19.457626,0.022928,18.989649,0.053811
587739380994343066,234.26960315,24.4161855,22.696022,0.451768,21.671513,0.065195,20.46834,0.037294,19.985863,0.033152,19.693289,0.095907
587739380994343067,234.27113037,24.41667058,23.22537,0.953192,21.730124,0.092829,20.322939,0.044409,19.725788,0.03641,19.413301,0.100903
587739380994343069,234.27129621,24.41321303,23.80965,1.613361,21.744793,0.117344,20.885031,0.078672,20.104851,0.055752,19.252224,0.099639
587739380994343075,234.27694228,24.40673878,23.169426,1.711832,21.785599,0.17875,21.03862,0.147778,20.100809,0.091305,20.391045,0.447261
587739380994343082,234.27082828,24.40765859,13.727608,3.65859E-3,11.6701,5.980213E-4,11.300248,6.203406E-4,11.204245,6.519496E-4,13.383875,6.278832E-3
587739380994343275,234.24933365,24.43319685,19.929384,0.075946,18.946205,0.059307,18.109947,0.020602,17.70751,0.010717,17.511459,0.026584
587739380994343281,234.25358793,24.43455699,24.19121,1.035317,21.660372,0.055715,20.479116,0.032553,19.988512,0.028789,19.627829,0.075625
587739380994343288,234.23090295,24.38012349,21.982758,0.308872,20.274784,0.026346,18.93445,0.013899,18.387157,0.012137,18.055012,0.030246
587739380994343410,234.21407563,24.43953993,22.288799,0.342502,20.835581,0.035509,19.83143,0.023809,19.317896,0.021089,19.076149,0.061253
587739380994343413,234.20255571,24.4067995,22.699492,0.419446,21.623577,0.057922,20.255136,0.030951,19.746073,0.027369,19.368996,0.065708
587739380994343427,234.20693938,24.38486369,25.614157,1.043631,20.575064,0.030466,19.22003,0.0158,18.669712,0.013746,18.322069,0.034028
587739380994343435,234.2401486,24.43837931,22.357872,0.444573,20.653774,0.036264,19.279673,0.024656,18.700928,0.016854,18.322495,0.039237
587739380994343438,234.21643373,24.38712798,23.2012,0.867928,20.96368,0.045293,19.567293,0.022196,19.078461,0.020122,18.74214,0.052937
587739380994343457,234.25647832,24.42935449,22.978779,0.539305,21.224771,0.043424,19.798601,0.021202,19.230986,0.018315,18.90383,0.045825
587739380994343462,234.26319189,24.42706213,22.457825,0.407514,20.76786,0.035023,19.305397,0.017456,18.815243,0.015499,18.454748,0.037295
587739380994343471,234.24443093,24.38081414,23.362305,0.660109,21.058626,0.03539,19.573648,0.017799,19.072483,0.015761,18.743189,0.0374
587739380994343475,234.25742116,24.37784677,23.668173,0.944607,21.038345,0.038384,19.74404,0.021997,19.277607,0.020445,18.985664,0.051251
587739380994343525,234.20508685,24.43463782,21.60634,0.271883,20.566988,0.04077,19.297783,0.021082,18.816515,0.022268,18.454899,0.050767
587739380994343536,234.20757424,24.41804479,22.759415,0.479261,20.909674,0.035649,20.021259,0.026111,19.532152,0.024621,19.28591,0.068117
587739380994343541,234.20479449,24.38672926,23.847719,0.998675,21.546843,0.055428,20.323183,0.031028,19.79607,0.028536,19.336597,0.065497
587739380994343551,234.23810175,24.38241384,23.453506,0.798597,21.594051,0.05957,20.182371,0.028708,19.659876,0.026529,19.320927,0.066245
587739380994343554,234.23819979,24.37130815,22.846247,0.464726,21.715515,0.060666,20.337721,0.030175,19.874411,0.027492,19.473057,0.069431
587739380994343805,234.1919838,24.41030503,21.195826,0.182028,20.333546,0.031824,19.9398,0.034626,19.724665,0.041249,19.353872,0.106243
587739380994343807,234.20262437,24.42938129,21.791616,0.29956,21.809322,0.10532,21.256102,0.104779,21.146282,0.134432,21.095312,0.483492
