# tile dither fiber fiber_ra fiber_dec
NE D1 1 210.256817152 2.90525013889
NE D1 2 210.258817152 2.90519458333
NE D1 3 210.260858819 2.90527791667
NE D1 4 210.262817152 2.90527791667
NE D1 5 210.264775485 2.90527791667
NE D1 6 210.266858819 2.90522236111
NE D1 7 210.268900485 2.90530569444
NE D1 8 210.270817152 2.90522236111
NE D1 9 210.272817152 2.90533347222
NE D1 10 210.274858819 2.90527791667
NE D1 11 210.276817152 2.90533347222
NE D1 12 210.278817152 2.90533347222
NE D1 13 210.280775485 2.90530569444
NE D1 14 210.282817152 2.90527791667
NE D1 15 210.255900488 2.90347236111
NE D1 16 210.257817155 2.90350013889
NE D1 17 210.259817155 2.90352791667
NE D1 18 210.261775488 2.90358347222
NE D1 19 210.263817155 2.90352791667
NE D1 20 210.265858822 2.90350013889
NE D1 21 210.267858822 2.90347236111
NE D1 22 210.269817155 2.90347236111
NE D1 23 210.271817155 2.90355569444
NE D1 24 210.273733821 2.90355569444
NE D1 25 210.275817155 2.90350013889
NE D1 26 210.277817155 2.90355569444
NE D1 27 210.279817155 2.90355569444
NE D1 28 210.281900488 2.90355569444
NE D1 29 210.283817155 2.90352791667
NE D1 30 210.256858824 2.90180569444
NE D1 31 210.258817158 2.90180569444
NE D1 32 210.260817158 2.90172236111
NE D1 33 210.262817158 2.90180569444
NE D1 34 210.264817158 2.90175013889
NE D1 35 210.266858824 2.90175013889
NE D1 36 210.268817158 2.90186125
NE D1 37 210.270858824 2.90183347222
NE D1 38 210.272817158 2.90177791667
NE D1 39 210.274858824 2.90186125
NE D1 40 210.276858824 2.90180569444
NE D1 41 210.278775491 2.90177791667
NE D1 42 210.280858824 2.90180569444
NE D1 43 210.282858824 2.90186125
NE D1 44 210.255817161 2.90005569444
NE D1 45 210.257817161 2.90005569444
NE D1 46 210.259817161 2.90002791667
NE D1 47 210.261858827 2.90005569444
NE D1 48 210.263858827 2.90008347222
NE D1 49 210.265817161 2.90008347222
NE D1 50 210.267858827 2.90005569444
NE D1 51 210.269858827 2.90008347222
NE D1 52 210.271858827 2.90005569444
NE D1 53 210.273900494 2.90005569444
NE D1 54 210.275858827 2.90008347222
NE D1 55 210.277817161 2.90008347222
NE D1 56 210.279817161 2.90005569444
NE D1 57 210.281817161 2.90011125
NE D1 58 210.283858827 2.90005569444
NE D1 59 210.256817163 2.89836125
NE D1 60 210.25885883 2.89836125
NE D1 61 210.260900497 2.89838902778
NE D1 62 210.26285883 2.89836125
NE D1 63 210.264775497 2.89838902778
NE D1 64 210.26685883 2.89833347222
NE D1 65 210.268817163 2.89836125
NE D1 66 210.27085883 2.89838902778
NE D1 67 210.272817163 2.89841680556
NE D1 68 210.274817163 2.89838902778
NE D1 69 210.276900497 2.89841680556
NE D1 70 210.278900497 2.89838902778
NE D1 71 210.28085883 2.89838902778
NE D1 72 210.282900497 2.89838902778
NE D1 73 210.255858833 2.89663902778
NE D1 74 210.257817166 2.89661125
NE D1 75 210.259817166 2.89663902778
NE D1 76 210.261858833 2.89663902778
NE D1 77 210.2639005 2.89663902778
NE D1 78 210.265858833 2.89661125
NE D1 79 210.267858833 2.89669458333
NE D1 80 210.269817166 2.89669458333
NE D1 81 210.271858833 2.89666680556
NE D1 82 210.2739005 2.89663902778
NE D1 83 210.275858833 2.89666680556
NE D1 84 210.2779005 2.89658347222
NE D1 85 210.279858833 2.89663902778
NE D1 86 210.281858833 2.89666680556
NE D1 87 210.283858833 2.89669458333
NE D1 88 210.256817169 2.89486125
NE D1 89 210.258817169 2.89486125
NE D1 90 210.260858836 2.89494458333
NE D1 91 210.262817169 2.89488902778
NE D1 92 210.264817169 2.89488902778
NE D1 93 210.266900503 2.89491680556
NE D1 94 210.268817169 2.89491680556
NE D1 95 210.270817169 2.89488902778
NE D1 96 210.272900503 2.89494458333
NE D1 97 210.274858836 2.89488902778
NE D1 98 210.276817169 2.89494458333
NE D1 99 210.278858836 2.89497236111
NE D1 100 210.280900503 2.89491680556
NE D1 101 210.282775502 2.89500013889
NE D1 102 210.255900506 2.89313902778
NE D1 103 210.257858839 2.89311125
NE D1 104 210.259858839 2.89316680556
NE D1 105 210.261858839 2.89322236111
NE D1 106 210.263858839 2.89322236111
NE D1 107 210.265858839 2.89316680556
NE D1 108 210.267858839 2.89316680556
NE D1 109 210.269817172 2.89322236111
NE D1 110 210.271900505 2.89316680556
NE D1 111 210.273817172 2.89322236111
NE D1 112 210.275817172 2.89325013889
NE D1 113 210.277900505 2.89319458333
NE D1 114 210.279817172 2.89316680556
NE D1 115 210.281900505 2.89319458333
NE D1 116 210.283858839 2.89316680556
NE D1 117 210.256817175 2.89147236111
NE D1 118 210.258858842 2.89144458333
NE D1 119 210.260858842 2.89144458333
NE D1 120 210.262817175 2.89141680556
NE D1 121 210.264858842 2.89147236111
NE D1 122 210.266858841 2.89155569444
NE D1 123 210.268817175 2.89152791667
NE D1 124 210.270817175 2.89147236111
NE D1 125 210.272858842 2.89150013889
NE D1 126 210.274858842 2.89152791667
NE D1 127 210.276817175 2.89150013889
NE D1 128 210.278858842 2.89152791667
NE D1 129 210.280858842 2.89152791667
NE D1 130 210.282817175 2.89150013889
NE D1 131 210.255900511 2.88975013889
NE D1 132 210.257858844 2.88975013889
NE D1 133 210.259900511 2.88980569444
NE D1 134 210.261900511 2.88972236111
NE D1 135 210.263900511 2.88972236111
NE D1 136 210.265858844 2.88977791667
NE D1 137 210.267858845 2.88972236111
NE D1 138 210.269858844 2.88975013889
NE D1 139 210.271900511 2.88975013889
NE D1 140 210.273900511 2.88977791667
NE D1 141 210.275900511 2.88980569444
NE D1 142 210.277858844 2.88977791667
NE D1 143 210.279858844 2.88977791667
NE D1 144 210.281900511 2.88980569444
NE D1 145 210.283858844 2.88980569444
NE D1 146 210.256900514 2.88794458333
NE D1 147 210.258858847 2.88797236111
NE D1 148 210.260817181 2.88800013889
NE D1 149 210.262817181 2.88800013889
NE D1 150 210.264900514 2.88802791667
NE D1 151 210.266858847 2.88805569444
NE D1 152 210.268858847 2.88800013889
NE D1 153 210.270900514 2.88808347222
NE D1 154 210.272858847 2.88805569444
NE D1 155 210.274858847 2.88800013889
NE D1 156 210.276858847 2.88802791667
NE D1 157 210.278817181 2.88808347222
NE D1 158 210.280775514 2.88805569444
NE D1 159 210.282858847 2.88802791667
NE D1 160 210.255817184 2.88630569444
NE D1 161 210.25785885 2.88627791667
NE D1 162 210.259900517 2.88627791667
NE D1 163 210.26185885 2.88627791667
NE D1 164 210.263900517 2.88627791667
NE D1 165 210.265900517 2.88627791667
NE D1 166 210.267900517 2.88627791667
NE D1 167 210.269900517 2.88633347222
NE D1 168 210.271900517 2.88633347222
NE D1 169 210.273942183 2.88636125
NE D1 170 210.27585885 2.88630569444
NE D1 171 210.27785885 2.88633347222
NE D1 172 210.27985885 2.88636125
NE D1 173 210.281900517 2.88625013889
NE D1 174 210.283900517 2.88627791667
NE D1 175 210.256858853 2.88461125
NE D1 176 210.258817186 2.88461125
NE D1 177 210.260858853 2.88461125
NE D1 178 210.262858853 2.88452791667
NE D1 179 210.264858853 2.88458347222
NE D1 180 210.26690052 2.88466680556
NE D1 181 210.26890052 2.88461125
NE D1 182 210.27090052 2.88463902778
NE D1 183 210.27290052 2.88458347222
NE D1 184 210.274858853 2.88463902778
NE D1 185 210.276858853 2.88458347222
NE D1 186 210.278858853 2.88463902778
NE D1 187 210.28090052 2.88466680556
NE D1 188 210.282817186 2.88463902778
NE D1 189 210.255942189 2.88277791667
NE D1 190 210.257900523 2.88280569444
NE D1 191 210.259900523 2.88286125
NE D1 192 210.261900523 2.88286125
NE D1 193 210.263900523 2.88288902778
NE D1 194 210.265858856 2.88288902778
NE D1 195 210.267900523 2.88283347222
NE D1 196 210.269900523 2.88288902778
NE D1 197 210.271858856 2.88286125
NE D1 198 210.273900523 2.88286125
NE D1 199 210.275900522 2.88294458333
NE D1 200 210.277900523 2.88286125
NE D1 201 210.279900523 2.88288902778
NE D1 202 210.281817189 2.88288902778
NE D1 203 210.283900522 2.88297236111
NE D1 204 210.256858859 2.88111125
NE D1 205 210.258858859 2.88108347222
NE D1 206 210.260858859 2.88111125
NE D1 207 210.262858859 2.88113902778
NE D1 208 210.264858859 2.88113902778
NE D1 209 210.266900525 2.88113902778
NE D1 210 210.268775526 2.88108347222
NE D1 211 210.270900526 2.88108347222
NE D1 212 210.272817192 2.88111125
NE D1 213 210.274900525 2.88113902778
NE D1 214 210.276775525 2.88119458333
NE D1 215 210.278858859 2.88116680556
NE D1 216 210.280900525 2.88116680556
NE D1 217 210.282900525 2.88113902778
NE D1 218 210.255858862 2.87936125
NE D1 219 210.257900528 2.87936125
NE D1 220 210.259942195 2.87938902778
NE D1 221 210.261817195 2.87938902778
NE D1 222 210.263900528 2.87941680556
NE D1 223 210.265858862 2.87938902778
NE D1 224 210.267858862 2.87936125
NE D1 225 210.269900528 2.87941680556
NE D1 226 210.271858862 2.87941680556
NE D1 227 210.273900528 2.87938902778
NE D1 228 210.275858862 2.87941680556
NE D1 229 210.277900528 2.87947236111
NE D1 230 210.279900528 2.87947236111
NE D1 231 210.281900528 2.87941680556
NE D1 232 210.283858862 2.87941680556
NE D1 233 210.256817198 2.87766680556
NE D1 234 210.258817198 2.87766680556
NE D1 235 210.260858864 2.87775013889
NE D1 236 210.262900531 2.87763902778
NE D1 237 210.264942198 2.87775013889
NE D1 238 210.266858865 2.87766680556
NE D1 239 210.268817198 2.87769458333
NE D1 240 210.270817198 2.87769458333
NE D1 241 210.272858865 2.87766680556
NE D1 242 210.274900531 2.87769458333
NE D1 243 210.276942198 2.87772236111
NE D1 244 210.278858864 2.87772236111
NE D1 245 210.280858864 2.87775013889
NE D1 246 210.282900531 2.87777791667
NE D2 1 210.255817153 2.90469458333
NE D2 2 210.257817153 2.90463902778
NE D2 3 210.259858819 2.90472236111
NE D2 4 210.261817153 2.90472236111
NE D2 5 210.263775486 2.90472236111
NE D2 6 210.26585882 2.90466680556
NE D2 7 210.267858819 2.90475013889
NE D2 8 210.269817153 2.90463902778
NE D2 9 210.271817153 2.90475013889
NE D2 10 210.273858819 2.90472236111
NE D2 11 210.275817153 2.90477791667
NE D2 12 210.277817153 2.90477791667
NE D2 13 210.279775486 2.90475013889
NE D2 14 210.281775486 2.90472236111
NE D2 15 210.254900489 2.90288902778
NE D2 16 210.256775489 2.90294458333
NE D2 17 210.258817156 2.90297236111
NE D2 18 210.260775489 2.90302791667
NE D2 19 210.262817156 2.90297236111
NE D2 20 210.264858822 2.90294458333
NE D2 21 210.266858823 2.90291680556
NE D2 22 210.268817156 2.90291680556
NE D2 23 210.270817156 2.90300013889
NE D2 24 210.272733822 2.90300013889
NE D2 25 210.274817156 2.90294458333
NE D2 26 210.276817156 2.90300013889
NE D2 27 210.278817156 2.90300013889
NE D2 28 210.280858822 2.90297236111
NE D2 29 210.282775489 2.90297236111
NE D2 30 210.255858825 2.90122236111
NE D2 31 210.257775492 2.90125013889
NE D2 32 210.259775492 2.90116680556
NE D2 33 210.261775492 2.90125013889
NE D2 34 210.263817159 2.90119458333
NE D2 35 210.265817159 2.90119458333
NE D2 36 210.267817159 2.90130569444
NE D2 37 210.269817159 2.90127791667
NE D2 38 210.271817159 2.90119458333
NE D2 39 210.273858825 2.90130569444
NE D2 40 210.275858825 2.90125013889
NE D2 41 210.277775492 2.90122236111
NE D2 42 210.279858825 2.90125013889
NE D2 43 210.281817159 2.90130569444
NE D2 44 210.254817162 2.89947236111
NE D2 45 210.256817162 2.89950013889
NE D2 46 210.258817162 2.89947236111
NE D2 47 210.260858828 2.89950013889
NE D2 48 210.262817162 2.89952791667
NE D2 49 210.264775495 2.89952791667
NE D2 50 210.266858828 2.89947236111
NE D2 51 210.268858828 2.89952791667
NE D2 52 210.270858828 2.89950013889
NE D2 53 210.272900495 2.89950013889
NE D2 54 210.274858828 2.89952791667
NE D2 55 210.276817162 2.89952791667
NE D2 56 210.278817162 2.89950013889
NE D2 57 210.280817161 2.89955569444
NE D2 58 210.282858828 2.89950013889
NE D2 59 210.255817164 2.89780569444
NE D2 60 210.257858831 2.89780569444
NE D2 61 210.259858831 2.89783347222
NE D2 62 210.261858831 2.89777791667
NE D2 63 210.263775498 2.89783347222
NE D2 64 210.265817164 2.89777791667
NE D2 65 210.267817164 2.89780569444
NE D2 66 210.269817164 2.89783347222
NE D2 67 210.271817164 2.89786125
NE D2 68 210.273817164 2.89783347222
NE D2 69 210.275900498 2.89786125
NE D2 70 210.277858831 2.89783347222
NE D2 71 210.279858831 2.89783347222
NE D2 72 210.281900498 2.89783347222
NE D2 73 210.254817167 2.89608347222
NE D2 74 210.256775501 2.89605569444
NE D2 75 210.258817167 2.89605569444
NE D2 76 210.260858834 2.89605569444
NE D2 77 210.262858834 2.89608347222
NE D2 78 210.264858834 2.89605569444
NE D2 79 210.266858834 2.89611125
NE D2 80 210.268817167 2.89611125
NE D2 81 210.270858834 2.89611125
NE D2 82 210.272900501 2.89608347222
NE D2 83 210.274858834 2.89611125
NE D2 84 210.276858834 2.89602791667
NE D2 85 210.278817167 2.89608347222
NE D2 86 210.280817167 2.89611125
NE D2 87 210.282817167 2.89613902778
NE D2 88 210.25581717 2.89430569444
