objID,distance,ra,dec,u,g,r,i,z
587726033335550261,5.61456551E-4,210.27824913,2.87213372,21.23382,19.475811,17.974516,17.435999,17.165192
587726033335550262,0.13244122,210.27955794,2.87036002,24.388004,21.132078,19.756748,19.209297,18.964083
587726033335550148,0.23428043,210.28203127,2.87117802,22.526516,21.563969,20.031118,19.514711,19.172596
587726033335550147,0.26695562,210.28126986,2.87539404,24.292067,21.491369,19.855259,19.32439,19.056015
587726033335550555,0.34846596,210.27318027,2.87499472,22.857809,21.153532,19.881405,19.410131,19.003515
587726033335550149,0.36334617,210.28330114,2.87546674,23.01848,21.376074,20.729036,20.447609,20.217022
587726033335550352,0.52041237,210.27697129,2.86355184,22.373352,21.072073,19.788809,19.278677,18.906387
587726033335550351,0.62826722,210.27399815,2.88170823,23.678471,21.0152,19.640572,19.03994,18.661615
587726033335550589,0.69471408,210.28034383,2.86074591,21.669498,20.439981,19.447802,19.155863,18.862991
587726033335550603,0.69551119,210.28658689,2.88018678,24.756338,21.802361,20.389215,19.860371,19.523895
587726033335550257,0.70165897,210.27111633,2.88141301,21.925045,20.499651,19.19825,18.684956,18.519999
587726033335550254,0.71125952,210.26637673,2.8725098,22.98584,20.84148,19.499855,18.978834,18.658934
587726033335550621,0.79055321,210.29137852,2.87332021,24.588535,21.378853,19.999119,19.411257,19.077188
587726033335550590,0.8238009,210.28027752,2.85855373,23.210533,21.608713,20.300806,19.762709,19.37154
587726033335550253,0.86553383,210.26452429,2.87665314,23.043818,20.316906,18.938875,18.410143,18.045025
587726033335550108,0.8804967,210.26354901,2.8718674,22.578274,21.584717,19.971867,19.431681,19.134089
587726033335550006,0.94848036,210.29179588,2.86397234,24.579712,21.797091,20.864065,19.892818,19.543695
587726033335550599,0.98990184,210.28428695,2.85677863,23.746246,21.554251,20.178829,19.644482,19.271885
587726033335550099,0.99432077,210.26192284,2.8691233,22.572784,20.601688,19.159063,18.622467,18.223278
587726033335550539,0.99898311,210.26888548,2.85835061,23.248211,21.511913,20.055271,19.626226,19.27412
587726033335550605,1.00038276,210.28713022,2.886244,26.105583,21.87985,20.717613,20.155685,19.995501
587726033335551314,1.00138274,210.29112971,2.86151059,26.374651,21.399887,20.580488,19.580511,23.957247
587726033335550095,1.00244653,210.26306464,2.87916245,22.664017,20.228251,18.689524,18.167711,17.987572
587726033335550609,1.0496607,210.28672839,2.85682929,22.928268,21.459801,20.665628,19.967035,19.880478
587726033335550112,1.0564582,210.26094399,2.87554206,22.616434,21.570036,20.24851,19.72607,19.439001
587726033335550096,1.06995588,210.26091177,2.86783227,23.262398,20.446463,18.927639,18.422052,18.043745
587726033335550100,1.07828246,210.2602721,2.87310241,23.866018,20.916464,19.395325,18.802723,18.534586
587726033335550573,1.08063681,210.27522418,2.85437489,21.874836,21.296814,20.471561,20.214054,19.660025
587726016155943318,1.18546711,210.27993271,2.89181755,25.083378,21.497431,20.01367,19.470781,19.006145
587726033335550268,1.18900911,210.29690993,2.87884196,22.870871,21.179899,19.777365,19.222887,18.927399
587726033335550105,1.20727094,210.25812391,2.87102667,23.947264,21.818647,20.239172,19.730402,19.363388
587726033335550104,1.21611202,210.25803427,2.87024626,22.759748,21.435692,20.033144,19.463564,19.209879
587726033335550094,1.23503552,210.25863088,2.87846855,18.111031,17.265547,16.415312,16.009005,15.741291
587726033335550103,1.24301558,210.25754755,2.873578,22.030481,20.174458,19.09166,18.593328,18.577724
587726033335550110,1.24305932,210.25750447,2.87272228,23.596584,21.155924,19.651173,19.274076,18.583344
587726033335550642,1.29777557,210.29952434,2.876126,22.25305,21.441706,20.87678,20.756895,20.296486
587726033335550247,1.30013832,210.2579002,2.86459103,22.385864,20.935713,19.684006,19.19821,18.9133
587726033335550613,1.30656968,210.28759336,2.85246116,24.143183,21.627659,20.259476,19.687181,19.410997
587726033335550098,1.30712753,210.25773233,2.87955487,22.147207,19.982359,18.70785,18.192509,18.14855
587726033335549991,1.31081919,210.27924957,2.85030855,23.59421,21.630157,20.310001,19.776299,19.595343
587726016155877787,1.31181175,210.26837624,2.89165042,23.421906,21.176991,19.683004,19.183111,18.899691
587726033335550106,1.37307032,210.25541625,2.87011207,23.658388,21.480118,20.055031,19.538462,19.189178
