index,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,39.0,191.122115802,16.8215278972,1.2376686235518897e+18,191.121582189949,16.8214361232361,23.23003,1.067451,21.157729999999997,0.07509863,19.37598,0.02605245,18.58563,0.02041658,18.17871,0.05195636,0.44611899999999993,0.013375,6.089105116651586e+18,191.12158,16.821428,0.4515024,0.0001044605
1,NE,D1,79.0,191.114949104,16.8163612306,1.2376686235518902e+18,191.114952131725,16.8164749703197,23.14679,0.5302776,21.2677,0.04591915,20.00202,0.02406717,19.411939999999998,0.02210635,18.999570000000002,0.05504323,0.182528,0.023197,,,,,
2,NE,D1,85.0,191.12724077099998,16.8164167861,1.2376686235518902e+18,191.12767404868302,16.816253088882302,21.5848,0.3222284,20.49928,0.05324851,19.65437,0.04681102,19.24605,0.04484228,19.10135,0.1595433,0.20982199999999998,0.038368,,,,,
3,NE,D1,124.0,191.118032406,16.811222341700002,1.2376686235518897e+18,191.11847212346402,16.811362171428403,22.17674,0.2146797,21.67829,0.05851846,20.70575,0.037835400000000005,20.31373,0.04016256,20.06581,0.1242969,0.367741,0.06704600000000001,,,,,
4,NE,D1,207.0,191.109907343,16.8009167861,1.2376686235518894e+18,191.110242200908,16.800472741002398,23.32822,0.6255755999999999,21.4106,0.05307689,20.044610000000002,0.02559613,19.473760000000002,0.02340451,19.048070000000003,0.0580852,0.215202,0.017637,,,,,
5,NE,D2,65.0,191.114907444,16.8174723417,1.2376686235518902e+18,191.114902035528,16.8179248657358,23.347179999999998,0.5775036,21.62121,0.05916906,20.86316,0.0457222,20.39109,0.04586048,20.35231,0.1683687,0.132948,0.060934,,,,,
6,NE,D2,108.0,191.113949079,16.812305675,1.2376686235518897e+18,191.113751782691,16.8123253116534,24.02437,0.8082314,21.63552,0.05647545,20.18637,0.0248672,19.68094,0.02402336,19.36661,0.06488547,0.250768,0.029491000000000003,,,,,
7,NE,D2,123.0,191.114907403,16.8106945639,1.2376686235518897e+18,191.115371070324,16.811050796775202,21.06813,0.18431199999999998,19.52471,0.02615985,18.9447,0.02109089,18.56235,0.02218154,18.30528,0.06379966,0.073803,0.022012999999999998,,,,,
8,NE,D2,161.0,191.10374070400002,16.8054167861,1.2376686235518894e+18,191.104119709073,16.8052247820813,23.45601,0.5975925,21.17621,0.04043663,19.912670000000002,0.02152595,19.42151,0.02046357,19.06213,0.05282357,0.185427,0.011703,,,,,
9,NE,D2,221.0,191.107865662,16.7986390083,1.2376686235518897e+18,191.107482837856,16.7987600455779,24.86409,1.744276,21.06145,0.06388285,19.82196,0.03513902,19.06972,0.0274526,19.043470000000003,0.1016074,0.282107,0.051072,6.089104566895772e+18,191.10748,16.798751,0.2366874,6.59742e-05
10,NE,D3,12.0,191.126157483,16.8238890083,1.2376686235518902e+18,191.12641088869597,16.8239280665225,22.43056,0.24758110000000003,21.682479999999998,0.05496472,21.032220000000002,0.04453519,20.7212,0.04990455,20.589879999999997,0.1712869,0.221858,0.026282,,,,,
