,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,223.0,194.223855618,25.8006945639,1.2376674488809562e+18,194.22328487818,25.8007606353273,21.92158,0.2594573,20.91336,0.04888746,19.63699,0.02508943,19.1482,0.02633635,18.78514,0.07194372,0.327832,0.06540399999999999,,,,,
1,NE,D3,6.0,194.224772539,25.8251390083,1.2376674488809556e+18,194.224906624954,25.8255268732196,20.35631,0.08443432,19.153270000000003,0.01355905,18.333779999999997,0.01087283,17.86649,0.01136903,17.59476,0.03027807,0.170684,0.027384,,,,,
2,NE,D3,47.0,194.219314152,25.8200001194,1.2376674488809556e+18,194.219716717235,25.819707280813102,21.675829999999998,0.18214029999999998,19.447,0.01341559,18.32377,0.008817435,17.87641,0.009046474,17.5539,0.02105701,0.15731900000000001,0.012445999999999999,,,,,
3,NW,D1,158.0,194.20923070799998,25.8093612306,1.2376674488809562e+18,194.209341320408,25.8091338169291,21.66504,0.2282395,20.36412,0.0307635,19.06689,0.01726679,18.52168,0.01694513,18.05619,0.03917155,0.31088899999999997,0.063118,,,,,
4,NW,D1,170.0,194.20381402299998,25.807583452800003,1.2376674488809562e+18,194.20424111589298,25.807690544302698,22.64799,0.334365,21.99592,0.07660652,21.27502,0.06806675,20.99529,0.08410162,20.38441,0.185995,0.343908,0.10363800000000001,,,,,
5,NW,D1,224.0,194.19518895099998,25.800666786100003,1.2376674488809562e+18,194.19550643148202,25.801109269865304,24.663829999999997,1.414048,21.620279999999998,0.08781672,20.7917,0.06405687,20.59215,0.08255917,20.316470000000002,0.23310429999999996,0.465318,0.21395,,,,,
6,NW,D2,146.0,194.18202236599998,25.808527897199998,1.2376674488809562e+18,194.18184724139599,25.808722049787804,23.04194,0.54314,21.74249,0.07239555,20.89953,0.05820994,20.5399,0.06873319,20.383470000000003,0.22140279999999998,0.1844,0.033602,,,,,
7,NW,D3,201.0,194.20831397700002,25.8031390083,1.2376674488809556e+18,194.20880365264,25.8028500574543,21.23562,0.2969388,19.23109,0.02181476,17.68475,0.01012988,17.127270000000003,0.009942876,16.83155,0.02573473,0.28626599999999996,0.016707,2.9961904268698194e+18,194.20881,25.802857999999997,0.2816204,4.485908e-05
8,NW,D3,243.0,194.20510559,25.7980001194,1.2376674488809562e+18,194.204658273658,25.7982059006692,23.0995,0.517131,21.775920000000003,0.06775437,20.43824,0.03602986,19.90577,0.0353583,19.47321,0.08841757,0.30292600000000003,0.052949,,,,,
9,SE,D1,227.0,194.23264699700002,25.772944563899998,1.2376674488809556e+18,194.23252865239,25.7729722007298,23.68437,0.9362963,21.60843,0.06913556,19.954079999999998,0.028593599999999997,19.2278,0.02392201,19.02212,0.071021,0.395005,0.034047,,,,,
10,SE,D1,228.0,194.23473033099998,25.7730001194,1.2376674488809556e+18,194.23446193161098,25.773289934512,24.05067,2.757937,21.78199,0.18294970000000002,20.224729999999997,0.07885986,19.73434,0.08412321,19.29087,0.2123719,0.266088,0.020055,,,,,
11,SE,D2,187.0,194.23910537900002,25.777666786100003,1.2376674488809564e+18,194.239147448746,25.7780575063202,22.522560000000002,1.987313,21.08786,0.2177926,20.72479,0.2797123,20.98992,0.5970107,19.83028,0.783803,0.081664,0.068362,,,,,
12,SW,D1,122.0,194.193980455,25.784944563899998,1.2376674488809556e+18,194.19376698422198,25.784522774157,21.5427,0.17941329999999997,20.66846,0.03420995,19.49205,0.02084823,19.01231,0.02172297,18.66339,0.05661473,0.34234699999999996,0.07093200000000001,,,,,
13,SW,D2,58.0,194.211397204,25.7929167861,1.2376674488809562e+18,194.21121608635602,25.7934245444836,24.12738,1.545625,21.39017,0.07243565,19.89837,0.03365268,19.31097,0.03216201,18.78635,0.07509328,0.350493,0.073228,,,,,
