tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,223,194.223855618,25.8006945639,1237667448880956205,194.22328487818,25.8007606353273
NE,D3,6,194.224772539,25.8251390083,1237667448880955559,194.224906624954,25.8255268732196
NE,D3,47,194.219314152,25.8200001194,1237667448880955556,194.219716717235,25.8197072808131
NW,D1,158,194.209230708,25.8093612306,1237667448880956175,194.209341320408,25.8091338169291
NW,D1,170,194.203814023,25.8075834528,1237667448880956151,194.204241115893,25.8076905443027
NW,D1,224,194.195188951,25.8006667861,1237667448880956121,194.195506431482,25.8011092698653
NW,D2,146,194.182022366,25.8085278972,1237667448880956085,194.181847241396,25.8087220497878
NW,D3,201,194.208313977,25.8031390083,1237667448880955605,194.20880365264,25.8028500574543
NW,D3,243,194.20510559,25.7980001194,1237667448880956155,194.204658273658,25.7982059006692
SE,D1,227,194.232646997,25.7729445639,1237667448880955629,194.23252865239,25.7729722007298
SE,D1,228,194.234730331,25.7730001194,1237667448880955630,194.234461931611,25.773289934512
SE,D2,187,194.239105379,25.7776667861,1237667448880956542,194.239147448746,25.7780575063202
SW,D1,122,194.193980455,25.7849445639,1237667448880955660,194.193766984222,25.784522774157
SW,D2,58,194.211397204,25.7929167861,1237667448880956179,194.211216086356,25.7934245444836
SW,D3,132,194.184188758,25.7820001194,1237667448880955603,194.183821247406,25.7822660501339
SW,D3,138,194.197272092,25.7820834528,1237667448880956135,194.196871773971,25.7818719894753
SW,D3,180,194.194063706,25.7770278972,1237667448880956127,194.194197204883,25.7770305242936
