# tile dither fiber fiber_ra fiber_dec
NE D1 1 248.423507338 57.2670278972
NE D1 2 248.427132336 57.2670001194
NE D1 3 248.430840676 57.2671112306
NE D1 4 248.434424009 57.2671112306
NE D1 5 248.437924011 57.2671390083
NE D1 6 248.441715674 57.2670834528
NE D1 7 248.445382347 57.2671945639
NE D1 8 248.448924009 57.2671112306
NE D1 9 248.452507349 57.2672223417
NE D1 10 248.456257347 57.2671945639
NE D1 11 248.459840685 57.2672778972
NE D1 12 248.463424018 57.2672778972
NE D1 13 248.467007352 57.2672778972
NE D1 14 248.470674017 57.2672501194
NE D1 15 248.421840574 57.2652778972
NE D1 16 248.425298909 57.265305675
NE D1 17 248.428923912 57.2653612306
NE D1 18 248.432548915 57.2654167861
NE D1 19 248.436173913 57.2653890083
NE D1 20 248.439882245 57.2653612306
NE D1 21 248.443548912 57.2653612306
NE D1 22 248.447132247 57.2653890083
NE D1 23 248.450715585 57.2654723417
NE D1 24 248.454257251 57.2654723417
NE D1 25 248.45800725 57.2654445639
NE D1 26 248.461632253 57.2655001194
NE D1 27 248.465298921 57.2655278972
NE D1 28 248.469007254 57.2655278972
NE D1 29 248.472507254 57.2655278972
NE D1 30 248.423590481 57.2636112306
NE D1 31 248.427132149 57.2636390083
NE D1 32 248.430757146 57.2635834528
NE D1 33 248.434382151 57.2636667861
NE D1 34 248.438048816 57.2636390083
NE D1 35 248.441715484 57.2636667861
NE D1 36 248.44534049 57.2637778972
NE D1 37 248.449007157 57.2637778972
NE D1 38 248.452590486 57.2636945639
NE D1 39 248.456298825 57.263805675
NE D1 40 248.459923824 57.2637778972
NE D1 41 248.463423822 57.2637501194
NE D1 42 248.467173825 57.263805675
NE D1 43 248.47079883 57.2638890083
NE D1 44 248.421715385 57.2618890083
NE D1 45 248.425382054 57.2619167861
NE D1 46 248.429007054 57.2619167861
NE D1 47 248.432673722 57.2619445639
NE D1 48 248.436298723 57.2619723417
NE D1 49 248.439882057 57.2619723417
NE D1 50 248.44359039 57.2619723417
NE D1 51 248.44725706 57.2620278972
NE D1 52 248.45088206 57.2620278972
NE D1 53 248.454548726 57.2620278972
NE D1 54 248.458132063 57.2620834528
NE D1 55 248.46167373 57.2620834528
NE D1 56 248.465340395 57.262055675
NE D1 57 248.468965399 57.2621390083
NE D1 58 248.47267373 57.2620834528
NE D1 59 248.423590293 57.2602223417
NE D1 60 248.427256961 57.2602501194
NE D1 61 248.430965296 57.2602778972
NE D1 62 248.434548628 57.2602501194
NE D1 63 248.438048631 57.260305675
NE D1 64 248.441756962 57.2602778972
NE D1 65 248.445381964 57.260305675
NE D1 66 248.449048634 57.2603612306
NE D1 67 248.452631969 57.2603890083
NE D1 68 248.456298635 57.2603890083
